timesteps,episodes,total_reward,total_intrusions,average_drift,TimeLimit.truncated
4973,38,-7.556956495562872,4,0.9695652118218875,False
5012,39,-2.394956119936049,0,0.8705015692143718,False
5053,40,-2.1262599459313147,0,0.7625024258369061,False
5164,41,-16.01197515035857,2,1.3524301937259975,False
5215,42,-4.064232817937789,0,0.9929868270466252,False
5290,43,-13.121273611931755,6,1.0828364815909013,False
5533,44,-36.47202342104322,2,1.4597540502486912,False
5588,45,-11.703313306192483,7,1.03696605567136,False
5665,46,-8.190627946763758,0,1.193588045034254,False
5839,47,-23.469169172236963,0,1.4062740903584465,False
5969,48,-19.021195279364417,3,1.3093227137972625,False
6001,49,-2.608829284707337,2,0.5027591514710428,False
6086,50,-9.411245253285236,0,1.22485238273944,False
6193,51,-17.897007365041656,5,1.2987857350506213,False
6235,52,-2.8038765727904313,0,0.9056848982834362,False
6282,53,-3.68410227773402,1,0.7838515484540467,False
6348,54,-9.730217762880066,4,1.0197299640727373,False
6387,55,-2.0681236916256664,0,0.7866983824681199,False
6446,56,-5.338135778831347,0,1.0742603014968386,False
6493,57,-3.2134627860240874,0,0.8964814438349121,False
6569,58,-11.118913566104471,4,1.0682781008032198,False
6642,59,-8.001528418940945,0,1.2330860847864304,False
6754,60,-16.415095436571985,2,1.3763478068367851,False
6786,61,-2.369800992510044,2,0.42806281015938863,False
6983,62,-26.864475846503442,0,1.4144403982996667,False
7023,63,-2.5221485421261876,0,0.8805371355315469,False
7085,64,-5.74422058185479,0,1.0877775132023852,False
7120,65,-1.002588308112999,0,0.5721680880322855,False
7156,66,-9.501564509133352,8,0.6948790303148201,False
7212,67,-4.572133050651075,0,0.9950237590448346,False
7262,68,-3.695259676084923,0,0.9390519352169845,False
7289,69,-13.288407617680491,13,0.47718800654833066,False
7330,70,-9.45341972608601,8,0.5983950551429295,False
7403,71,-7.26417001636494,0,1.1320780844335532,False
7481,72,-10.982746235385154,3,1.151634132741686,False
7606,73,-27.339003041536444,11,1.387120243322916,False
7680,74,-7.351538575859586,0,1.1285862940350797,False
7736,75,-8.375223382305819,4,0.9598613182688965,False
7811,76,-8.979040425880862,1,1.1972053901174478,False
8062,77,-35.6844422233886,0,1.461531562684804,False
8226,78,-21.26173581388568,0,1.3574229154808335,False
8267,79,-2.3043062070864604,0,0.8059283431918195,False
8320,80,-6.325591368958009,3,0.8161493148977378,False
8378,81,-6.9303734289780285,2,1.022478177410005,False
8403,82,-5.683885225088896,6,0.27355409003555914,False
8469,83,-6.163060962578632,0,1.085312267057368,False
8539,84,-7.963574105068124,1,1.1376534435811612,False
8613,85,-7.921681179794273,0,1.2056325918640909,False
8647,86,-8.33206985628214,8,0.3917852518476882,False
8695,87,-7.889015281003534,5,0.8102115168757358,False
8837,88,-18.534257943394802,0,1.3756519678447046,False
8880,89,-3.004305465658618,0,0.9312338292229344,False
8916,90,-1.2855035253828853,0,0.6348620903841349,False
8968,91,-3.5868518833355303,0,0.8820869006414481,False
9013,92,-7.139203364577329,5,0.6976007476838508,False
9075,93,-5.818667027005745,0,1.0997850043557647,False
9129,94,-4.046409916952172,0,0.9345203549911433,False
9179,95,-3.8231738996719478,0,0.9646347799343898,False
9268,96,-9.985958541583871,0,1.2343773642229072,False
9336,97,-11.676110189822918,5,1.1288397337974876,False
9382,98,-5.391162117886333,2,0.9546004604100722,False
9439,99,-5.338576235207933,0,1.1120309184575323,False
9465,100,-5.296805831884719,5,0.4987714738018148,False
9505,101,-7.792954678120348,6,0.6982386695300857,False
9554,102,-3.1101597356620663,0,0.8388081093187892,False
9600,103,-3.3074497745307445,0,0.9364021248979878,False
9643,104,-2.818654263293449,0,0.8880591309984767,False
9719,105,-7.4387169963569395,0,1.11035749952065,False
9779,106,-17.470012137856298,12,1.0783353563093816,False
9830,107,-6.392291971913638,3,0.8612337199830656,False
9880,108,-2.895533901947063,0,0.7791067803894127,False
9935,109,-4.936389165150425,0,1.0793434845728043,False
9968,110,-1.7233729194296532,1,0.522234218008986,False
10033,111,-6.132004398227166,0,1.0972314458811026,False
10113,112,-8.919940326936633,1,1.1149925408670789,False
10162,113,-3.6457288865984836,0,0.9481079360405066,False
10214,114,-3.638926157821763,0,0.8921011841964929,False
10256,115,-5.315728918521258,2,1.0275545044098233,False
10293,116,-1.9440224346227812,0,0.7956817390872382,False
10348,117,-6.679074516109171,2,1.0325590029289402,False
10385,118,-0.7635590821766821,0,0.4766375897774816,False
10412,119,-0.6889723423851369,1,0.25517494162412485,False
10445,120,-2.8283745433755136,2,0.5540528919319737,False
10481,121,-2.920174610575969,1,0.8111596140488803,False
10515,122,-3.2450543613136396,2,0.6603101062687179,False
10565,123,-3.3030527355774004,0,0.8606105471154799,False
10660,124,-11.113945308563315,0,1.2751521377435062,False
10693,125,-4.102269711828021,3,0.6370514278266729,False
10741,126,-5.31219794898507,2,0.8983745727052231,False
10790,127,-3.7931571024948525,0,0.9781953270397661,False
10820,128,-1.028166919547903,0,0.6760556398493008,False
10852,129,-5.617676170688354,4,0.8180238033401108,False
10893,130,-1.5955428583581552,0,0.6330592337458916,False
10965,131,-9.175940631025147,2,1.1355473098646034,False
11012,132,-2.8927559437802914,0,0.8282459454851685,False
11054,133,-2.8310174618175106,0,0.9121470147184548,False
11087,134,-1.2737143648610338,0,0.689004352988192,False
11131,135,-2.5446217246685148,0,0.8055958465155715,False
