total_int,total_rew
0,-11.383220282217938
1,-35.345447963108725
2,-26.045564686883925
1,-25.531289775453207
3,-34.122951367429884
2,-15.91244874569877
1,-20.08042034531064
0,-31.35418509063637
1,-21.287551741081344
0,-14.644797881746875
0,-33.97762402844767
1,-25.51338099036402
1,-26.212558529856476
0,-12.770166667701632
1,-16.690680055045256
1,-29.117179884815126
1,-27.282278503928957
1,-48.79015111804093
0,-31.583999712095743
2,-28.549313131748296
0,-19.84121276143853
1,-26.392043049753738
0,-24.555777408427772
1,-24.39577030832258
4,-38.15909008625019
0,-15.109380459428534
0,-22.696644361384404
3,-25.74399144270562
0,-37.930609808712035
0,-20.700135376230044
2,-25.14706793715286
2,-55.73414454741269
1,-29.361211811123674
0,-18.94081061930283
1,-24.472309626236896
1,-21.531615728884937
1,-23.61677267340181
1,-20.33293491090653
1,-33.233401358263706
0,-28.92127711733323
0,-19.140901434361588
0,-15.341607184709165
2,-19.4197911684014
2,-33.01066676639934
0,-25.017413605895058
0,-25.16592435956426
0,-21.810130463510948
0,-15.216164322027382
0,-28.78641025071618
0,-48.0909030266062
1,-18.39465784413012
0,-24.747347339763625
1,-17.18691540059988
3,-33.14774425480117
0,-21.25689303681446
0,-23.686546676144342
0,-18.206026870388417
1,-22.63400400599914
2,-21.037033818163305
1,-14.696049946727872
1,-20.155955188128793
2,-37.96141253608166
0,-35.25187196687154
0,-19.113804881167614
0,-19.952593973584886
3,-34.09864569874075
0,-21.56268717413191
2,-41.158516946396524
0,-16.94941908428028
0,-13.26342111325547
2,-23.77823667473942
1,-19.319622481682355
2,-36.8539045089365
2,-39.270406164960704
1,-23.07997841098396
0,-26.614995439667254
0,-8.31693355483511
2,-28.066451064873096
1,-21.98229616413609
0,-31.48798377357837
2,-20.16001760396801
3,-24.51925476763771
1,-23.104180416658867
0,-22.11171584831602
1,-47.31955812755555
1,-31.712265530807283
2,-20.785756388038024
1,-26.750942541118576
3,-18.38435900474963
0,-12.378495834430849
0,-42.71981988736178
0,-48.21876812613563
0,-27.26092180346509
0,-15.651828632306636
2,-20.414705012794457
2,-24.94086884590858
1,-34.52387896349617
0,-14.274297270514863
0,-24.82447013236693
1,-37.518377740303855
0,-17.819661872966954
0,-24.182887563248617
1,-33.15886388392792
0,-32.33210995652315
2,-24.932826913549427
1,-33.80303233881997
1,-19.955840505338823
2,-35.09623742201393
1,-18.53256791438586
0,-24.48320195717157
1,-22.252372300945172
1,-14.207471284404509
0,-18.24203898294556
2,-32.68780101895586
2,-29.59562299599788
0,-64.95022113495075
0,-47.06259914135023
0,-16.735139941502908
2,-27.851134420222987
2,-30.04422735950617
1,-25.77820586285008
0,-32.99776345678322
1,-41.672486455463016
2,-16.039484908259343
5,-46.46405566080586
0,-36.92144068773955
0,-14.410380926155272
1,-14.613520720382772
0,-25.39517687524083
3,-25.617178509887896
2,-18.45066671603298
0,-35.749986603466034
1,-33.082927659376104
1,-24.659748246871796
1,-17.16819722396678
3,-20.673065703567307
0,-48.029907729718765
1,-50.22139377405326
0,-26.206236007473183
0,-19.973170867366406
1,-16.343488174664113
0,-42.98621011587761
0,-24.63173720585957
0,-24.29864183699996
0,-20.59103226454622
0,-35.581685764007176
1,-17.95436044960828
1,-19.372031631594524
1,-30.139358323142194
0,-18.73369645160858
4,-24.68771197402247
1,-21.742000668115228
2,-46.06017862025865
0,-12.623889079296868
3,-18.70328502351402
0,-26.4203657624906
1,-23.089006000378205
0,-22.517234652851606
2,-27.358216541191883
0,-24.69690258869418
2,-43.288632532256884
1,-14.293467164053496
0,-35.0991815024936
0,-18.220048443378232
0,-21.035256908212197
0,-21.306900156895672
0,-16.574327331576427
3,-17.37312386272707
0,-26.75449338235988
0,-23.62220356610659
1,-28.065214877990766
0,-28.000737722408136
1,-22.04058848997303
1,-13.272633070703272
0,-39.05385410038825
0,-48.612001166069334
3,-29.971965806810438
0,-51.79010628339576
0,-15.840745504799575
2,-16.351150361347408
0,-36.043410757344944
0,-14.459442229196302
1,-10.38921543699982
2,-40.54284223528451
1,-26.947671380111288
0,-44.17808690791182
1,-28.815060329660003
1,-21.17945369638265
0,-19.551074932892167
0,-23.30186567244491
1,-26.00978982737238
2,-23.365088773971667
