timesteps,episodes,total_reward,waypoint_reached,crashed,average_drift,TimeLimit.truncated
142002,2301,-1.9383241854583801,0,0,1.9182088130646786,True
142037,2302,-5.159479050378023,0,1,0.43727176946491997,False
142063,2303,-5.363699467570472,0,1,1.3397765473660885,False
142163,2304,-0.9913937936000631,0,0,0.9788497301230997,True
142244,2305,-6.82109774526561,0,1,2.2140754089705923,False
142280,2306,-5.727713723874112,0,1,1.943330422566112,False
142380,2307,-2.1295338794793093,0,0,2.118306689336799,True
142394,2308,-5.241318917043517,0,1,1.5887750906580451,False
142494,2309,-1.5790379917530553,0,0,1.5552607262180107,True
142594,2310,-2.6530057355779215,0,0,2.627215666350309,True
142613,2311,-5.319685271970103,0,1,1.5790709437173929,False
142713,2312,-2.1945414603462163,0,0,2.1689151030718183,True
142813,2313,-0.6093379948611386,0,0,0.6039152915926704,True
142849,2314,-5.448183623793172,0,1,1.1998095389278916,False
142949,2315,-0.4041236445337951,0,0,0.4014710691649073,True
143020,2316,-5.702148529553991,0,1,0.9742477021066668,False
143040,2317,-5.159923201348174,0,1,0.7618329500851354,False
143065,2318,-5.3712713658353115,0,1,1.417763601967051,False
143066,2319,-5.002668375532264,0,1,0.024257959384217796,False
143166,2320,-1.8580844972030421,0,0,1.8380762432162432,True
143266,2321,-1.6730667800642993,0,0,1.655641716571156,True
143366,2322,-1.6507680682219947,0,0,1.639822754425398,True
143416,2323,-5.954851059566286,0,1,1.8698124701404542,False
143516,2324,-2.622467430371594,0,0,2.595789324890685,True
143527,2325,-5.200430047494314,0,1,1.575000011582458,False
143627,2326,-2.142352204369521,0,0,2.120314081014869,True
143727,2327,-1.996783370279162,0,0,1.9711877134415958,True
143827,2328,-0.6464521628012325,0,0,0.6367130150899305,True
143927,2329,-2.07955028570132,0,0,2.065811800986087,True
144013,2330,-7.1338227641309055,0,1,2.4496490111219407,False
144042,2331,-5.621405311522343,0,1,2.0648815086888583,False
144054,2332,-5.0881666998383785,0,1,0.6632048010950216,False
144086,2333,-5.1364907923011796,0,1,0.4007928687786585,False
144092,2334,-5.010133969805557,0,1,0.16506726146775108,False
144192,2335,-2.0559409885150814,0,0,2.0304861015322846,True
144288,2336,-6.835316735044389,0,1,1.8822244793033918,False
144311,2337,-5.509249918375432,0,1,2.1158528002199746,False
144320,2338,-5.013673815129465,0,1,0.1315522452375985,False
144321,2339,-5.003068447644251,0,1,0.027894978584100647,False
144380,2340,-5.577632417866704,0,1,0.9581449523200651,False
144381,2341,-5.001889649866481,0,1,0.017178635149829365,False
144424,2342,-5.67187611245635,0,1,1.5307173105735796,False
144524,2343,-1.4501050072995858,0,0,1.430259022518253,True
144549,2344,-5.283141048735304,0,1,1.0878725354410872,False
144563,2345,-5.250027110716509,0,1,1.6120756164730992,False
144564,2346,-5.003092293985212,0,1,0.028111763501928698,False
144583,2347,-5.095475018008363,0,1,0.4734622764427686,False
144588,2348,-5.00905650913299,0,1,0.12756211959925948,False
144629,2349,-5.828321260993978,0,1,1.9680689835647178,False
144692,2350,-6.483610504727947,0,1,2.316572608572212,False
144708,2351,-5.181283726251725,0,1,1.0497205124335318,False
144808,2352,-2.500765467699233,0,0,2.47320585037178,True
144843,2353,-5.275930189738122,0,1,0.760056289428916,False
144856,2354,-5.214825358155805,0,1,1.5073894101224603,False
144862,2355,-5.041918239726151,0,1,0.5784308611039355,False
144962,2356,-2.254777968374506,0,0,2.2384886402531268,True
144981,2357,-5.1135999141666515,0,1,0.5836271103632794,False
145027,2358,-6.149405186069965,0,1,2.4474682530986698,False
145051,2359,-5.386775583978032,0,1,1.5213582541431956,False
145070,2360,-5.365868894068899,0,1,1.8234121100022949,False
145082,2361,-5.021170554112841,0,1,0.14641067119867307,False
145086,2362,-5.017986772592666,0,1,0.31374859745330225,False
145178,2363,-6.560184645783194,0,1,1.6749849209855414,False
145179,2364,-5.0030965855138225,0,1,0.02815077739838683,False
145279,2365,-0.5126212034783313,0,0,0.5082218804193059,True
145379,2366,-2.3023566768974515,0,0,2.2761301246146415,True
145479,2367,-2.221974829380247,0,0,2.2057646768281476,True
145480,2368,-5.00308995155522,0,1,0.028090468683813985,False
145546,2369,-6.242493622138817,0,1,1.8660365354028638,False
145646,2370,-1.052567460897034,0,0,1.0390266470402658,True
145746,2371,-1.2994015870722937,0,0,1.2899088876933518,True
145810,2372,-5.5257969970048215,0,1,0.7866510130323799,False
145910,2373,-2.2945075211644057,0,0,2.2682019910763396,True
145912,2374,-5.009390073839968,0,1,0.1831079458311617,False
146012,2375,-2.8197531879229154,0,0,2.8039965214910616,True
146037,2376,-5.1161929603659875,0,1,0.4364099292117536,False
146076,2377,-5.6216806586993195,0,1,1.5229278395888683,False
146176,2378,-1.1502193616591743,0,0,1.1436209730834153,True
146189,2379,-5.246710305751684,0,1,1.719173004567376,False
146289,2380,-1.7545742687109906,0,1,1.7378674041112292,True
146308,2381,-5.313663516241395,0,1,1.557844521786005,False
146408,2382,-1.5656891718666872,0,0,1.5564958447791664,True
146508,2383,-2.7283724614336093,0,0,2.702851473459047,True
146608,2384,-1.5619578627953759,0,0,1.5463613613845912,True
146708,2385,-2.5705420864379387,0,1,2.5495920414931987,True
146711,2386,-5.01727885611708,0,1,0.3153244696157774,False
146811,2387,-1.5794116415087334,0,0,1.5713507265173723,True
146833,2388,-5.2920528126557755,0,1,1.271342499457813,False
146933,2389,-1.625560538974937,0,0,1.608022433185183,True
147022,2390,-7.187626850519667,0,1,2.428386813504562,False
147122,2391,-0.7616738450117445,0,0,0.7460651397294993,True
147222,2392,-2.4906287295441465,0,0,2.481073552367362,True
147267,2393,-5.486024443096629,0,1,1.0217434122262112,False
147367,2394,-2.4143969935556937,0,1,2.3941614114931475,True
147415,2395,-5.691437578114683,0,1,1.406178276635836,False
147448,2396,-5.365441144137515,0,1,1.082362661798207,False
147548,2397,-2.6599001492150194,0,0,2.6340081061386775,True
147553,2398,-5.048407694818064,0,1,0.6676619465838146,False
147653,2399,-1.6691668440812903,0,0,1.652257901551829,True
147654,2400,-5.0029299028332455,0,1,0.026635480302234175,False
147730,2401,-5.7998441351958165,0,1,1.0386688631406267,False
147731,2402,-5.003095615663586,0,1,0.028141960578055517,False
147794,2403,-6.084572566213022,0,1,1.6852368115087386,False
147894,2404,-2.635154614777244,0,0,2.608915135187288,True
147994,2405,-1.4811490849288522,0,0,1.466751863348032,True
148061,2406,-6.464337525278307,0,1,2.1488770118198897,False
148125,2407,-5.958101584303501,0,1,1.4693015030143781,False
148142,2408,-5.0949435473310185,0,1,0.5331047013543311,False
148242,2409,-1.1219336272203257,0,0,1.105601041686676,True
148261,2410,-5.161420860377195,0,1,0.7845680647410178,False
148361,2411,-2.438899159202016,0,0,2.424220393850886,True
148387,2412,-5.303024715738209,0,1,1.107803623968593,False
148479,2413,-7.247575013938198,0,1,2.4147512437778356,False
148579,2414,-2.5203767962020365,0,0,2.498409746252475,True
148679,2415,-1.594723752992961,0,0,1.5708292206903494,True
148779,2416,-2.7740447229312903,0,0,2.7467296372481482,True
148879,2417,-1.074025604258259,0,0,1.0613751595595833,True
148979,2418,-2.7348776903492986,0,0,2.7088831140853755,True
149079,2419,-2.7270099071435943,0,0,2.700167305419764,True
149179,2420,-1.5562254150805954,0,0,1.545637726497908,True
149188,2421,-5.08660763883144,0,1,0.863456713093679,False
149288,2422,-1.2118151249296334,0,0,1.2048467939608352,True
149388,2423,-2.2220361772522637,0,0,2.196823371711376,True
149488,2424,-2.668017910040072,0,0,2.6417684611584447,True
149588,2425,-1.881380811644229,0,0,1.8603446647467272,True
149688,2426,-1.413703027508095,0,0,1.3975090870703513,True
149788,2427,-1.6403547208782607,0,0,1.61998594215746,True
149888,2428,-1.3546062662342375,0,1,1.3338386211747084,True
149928,2429,-5.431511011921796,0,1,1.04714792304004,False
150010,2430,-5.256497736223023,0,1,0.31116534692437037,False
150110,2431,-2.616714542910078,0,0,2.5905761638438336,True
150210,2432,-2.3657709600435273,0,0,2.344382827122485,True
150212,2433,-5.008661150680795,0,1,0.171953152214247,False
150312,2434,-1.5960435475714803,0,0,1.5775890127401764,True
150412,2435,-1.7992032437578906,0,0,1.786220115090477,True
150418,2436,-5.03829798233017,0,1,0.5483816249869007,False
150463,2437,-6.105016408525126,0,1,2.399091567555428,False
150533,2438,-6.731802846448257,0,1,2.44018758465333,False
150547,2439,-5.063545467477481,0,1,0.4134666583815601,False
