timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,TimeLimit.truncated
1907350,38147,-7.709149010405337,0,1.5418298020810672,0,True
1907400,38148,-8.730622692519885,0,1.5461245385039764,1,True
1907450,38149,-7.845118899696577,0,1.5690237799393156,0,True
1907500,38150,-7.772651428494036,0,1.5545302856988061,0,True
1907550,38151,-7.827532400971494,0,1.5655064801942984,0,True
1907600,38152,-8.866176090165672,0,1.5732352180331344,1,True
1907650,38153,-10.83089898860757,0,1.566179797721514,3,True
1907700,38154,-7.881309721141733,0,1.5762619442283468,0,True
1907750,38155,-7.7307149996084235,0,1.5461429999216847,0,True
1907800,38156,-7.739819957765105,0,1.5479639915530214,0,True
1907850,38157,-7.710012808825019,0,1.542002561765004,0,True
1907900,38158,-7.72080387211279,0,1.5441607744225578,0,True
1907950,38159,-7.7007598962202755,0,1.5401519792440548,0,True
1908000,38160,-9.699347554582866,0,1.5398695109165734,2,True
1908050,38161,-8.81317611613101,0,1.5626352232262015,1,True
1908100,38162,-7.730415184463027,0,1.5460830368926053,0,True
1908150,38163,-7.825996545534586,0,1.5651993091069172,0,True
1908200,38164,-10.881978670849966,0,1.576395734169994,3,True
1908250,38165,-10.779210366877377,0,1.5558420733754748,3,True
1908300,38166,-16.776943601780996,0,1.5553887203561987,9,True
1908350,38167,-11.810198180202184,0,1.5620396360404367,4,True
1908400,38168,-7.70871007305334,0,1.5417420146106682,0,True
1908450,38169,-7.747251267153443,0,1.5494502534306884,0,True
1908500,38170,-7.702914012166675,0,1.5405828024333346,0,True
1908550,38171,-7.717728576291762,0,1.543545715258352,0,True
1908600,38172,-12.779550035235358,0,1.5559100070470726,5,True
1908650,38173,-7.885208078574841,0,1.577041615714968,0,True
1908700,38174,-7.7226875210737,0,1.5445375042147402,0,True
1908750,38175,-10.7242361045638,0,1.5448472209127604,3,True
1908800,38176,-9.781323777271943,0,1.5562647554543878,2,True
1908850,38177,-7.70249557898836,0,1.5404991157976715,0,True
1908900,38178,-11.827998253944273,0,1.5655996507888548,4,True
1908950,38179,-7.724439776471147,0,1.5448879552942294,0,True
1909000,38180,-15.843944486623597,0,1.5687888973247186,8,True
1909050,38181,-7.7177160489088745,0,1.543543209781775,0,True
1909100,38182,-7.785551581752614,0,1.5571103163505222,0,True
1909150,38183,-7.696127502691399,0,1.5392255005382804,0,True
1909200,38184,-8.695630328908289,0,1.539126065781658,1,True
1909250,38185,-7.741343686274454,0,1.5482687372548904,0,True
1909300,38186,-8.80832105168189,0,1.5616642103363778,1,True
1909350,38187,-13.731811196386133,0,1.5463622392772256,6,True
1909400,38188,-7.72619562653127,0,1.5452391253062538,0,True
1909450,38189,-8.774397363493245,0,1.5548794726986483,1,True
1909500,38190,-12.744216138548847,0,1.54884322770977,5,True
1909550,38191,-7.770696872806606,0,1.5541393745613208,0,True
1909600,38192,-10.882670706070265,0,1.5765341412140517,3,True
1909650,38193,-7.704917335300755,0,1.5409834670601512,0,True
1909700,38194,-8.729805812885875,0,1.5459611625771754,1,True
1909750,38195,-7.7216401902507945,0,1.5443280380501585,0,True
1909800,38196,-9.746166853029559,0,1.5492333706059107,2,True
1909850,38197,-7.722215657135882,0,1.5444431314271763,0,True
1909900,38198,-7.726804116800196,0,1.5453608233600387,0,True
1909950,38199,-8.69561364838406,0,1.5391227296768109,1,True
1910000,38200,-7.703090759419898,0,1.5406181518839792,0,True
1910050,38201,-8.856575249561367,0,1.5713150499122737,1,True
1910100,38202,-8.865914360110251,0,1.5731828720220506,1,True
1910150,38203,-10.757514888902227,0,1.5515029777804457,3,True
1910200,38204,-8.732195643922655,0,1.5464391287845303,1,True
1910250,38205,-9.747508114593497,0,1.5495016229186993,2,True
1910300,38206,-7.728625779237739,0,1.5457251558475478,0,True
