episode,total_reward,total_intrusions,average_drift
49,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587  -24.64377284
 -35.3907226  -40.01343089 -38.75817851 -24.9594784  -43.99840238]",256,1.2380318403830408
50,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587  -24.64377284
 -35.3907226  -40.01343089 -38.75817851 -24.9594784  -43.99840238
 -32.00035772]",354,0.9862315668496381
51,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587  -24.64377284
 -35.3907226  -40.01343089 -38.75817851 -24.9594784  -43.99840238
 -32.00035772 -34.73592321]",172,1.0371398099775007
52,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587  -24.64377284
 -35.3907226  -40.01343089 -38.75817851 -24.9594784  -43.99840238
 -32.00035772 -34.73592321 -26.31251012]",240,0.9803089125259077
53,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587  -24.64377284
 -35.3907226  -40.01343089 -38.75817851 -24.9594784  -43.99840238
 -32.00035772 -34.73592321 -26.31251012 -34.64486173]",228,1.0150594643837278
54,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587  -24.64377284
 -35.3907226  -40.01343089 -38.75817851 -24.9594784  -43.99840238
 -32.00035772 -34.73592321 -26.31251012 -34.64486173 -36.52137025]",232,0.9889432637869233
55,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587  -24.64377284
 -35.3907226  -40.01343089 -38.75817851 -24.9594784  -43.99840238
 -32.00035772 -34.73592321 -26.31251012 -34.64486173 -36.52137025
 -40.76371795]",250,1.139666046259377
56,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587  -24.64377284
 -35.3907226  -40.01343089 -38.75817851 -24.9594784  -43.99840238
 -32.00035772 -34.73592321 -26.31251012 -34.64486173 -36.52137025
 -40.76371795 -12.38646821]",98,0.8318298014127417
57,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587  -24.64377284
 -35.3907226  -40.01343089 -38.75817851 -24.9594784  -43.99840238
 -32.00035772 -34.73592321 -26.31251012 -34.64486173 -36.52137025
 -40.76371795 -12.38646821 -45.49366647]",418,1.0120850399423458
58,"[ -2.71020658  -6.62353478 -17.68484329 -14.59039863  -7.97468811
 -11.79710225 -14.54227723 -12.47595815 -11.96605273 -11.11366026
 -13.85014789 -58.16160507 -22.60824484 -57.37923873 -41.13512252
 -52.37252991 -55.85887463 -34.67417217 -36.74528154 -44.3814562
 -48.27271739 -34.26202069 -32.50480662 -45.82720431 -41.8549288
 -35.6930899  -26.79423588 -41.95563647 -23.53373607 -25.70108244
 -49.64641582 -28.25120309 -42.36878687 -33.78969562 -41.48255285
 -32.77375552 -20.68782378 -39.6679603  -33.9156716  -36.42422148
 -19.693381   -34.61134694 -38.1849803  -34.8228587  -24.64377284
 -35.3907226  -40.01343089 -38.75817851 -24.9594784  -43.99840238
 -32.00035772 -34.73592321 -26.31251012 -34.64486173 -36.52137025
 -40.76371795 -12.38646821 -45.49366647 -37.85835133]",140,1.2245377511521303
