episode,total_reward,total_intrusions,average_drift
37,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121 -36.8506014 ]",152,1.1607381509175942
38,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121 -36.8506014  -26.44372118]",166,0.9807416853506331
39,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121 -36.8506014  -26.44372118 -35.07081787]",166,1.0623340423713357
40,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121 -36.8506014  -26.44372118 -35.07081787
 -41.622825  ]",210,1.2350327382860506
41,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121 -36.8506014  -26.44372118 -35.07081787
 -41.622825   -42.87847105]",244,1.2271388420636182
42,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121 -36.8506014  -26.44372118 -35.07081787
 -41.622825   -42.87847105 -35.60834482]",160,1.0955692390426204
43,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121 -36.8506014  -26.44372118 -35.07081787
 -41.622825   -42.87847105 -35.60834482 -26.53224075]",184,0.9961057904703835
44,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121 -36.8506014  -26.44372118 -35.07081787
 -41.622825   -42.87847105 -35.60834482 -26.53224075 -22.09390516]",206,0.9588540777721872
45,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121 -36.8506014  -26.44372118 -35.07081787
 -41.622825   -42.87847105 -35.60834482 -26.53224075 -22.09390516
 -20.69269254]",208,0.9272695983922019
46,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121 -36.8506014  -26.44372118 -35.07081787
 -41.622825   -42.87847105 -35.60834482 -26.53224075 -22.09390516
 -20.69269254 -39.3844213 ]",250,1.1791412849829095
47,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121 -36.8506014  -26.44372118 -35.07081787
 -41.622825   -42.87847105 -35.60834482 -26.53224075 -22.09390516
 -20.69269254 -39.3844213  -26.73008918]",224,1.015038508636641
48,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121 -36.8506014  -26.44372118 -35.07081787
 -41.622825   -42.87847105 -35.60834482 -26.53224075 -22.09390516
 -20.69269254 -39.3844213  -26.73008918 -44.2625354 ]",336,1.089783150849824
49,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121 -36.8506014  -26.44372118 -35.07081787
 -41.622825   -42.87847105 -35.60834482 -26.53224075 -22.09390516
 -20.69269254 -39.3844213  -26.73008918 -44.2625354  -24.35518837]",230,0.9888606441599621
50,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121 -36.8506014  -26.44372118 -35.07081787
 -41.622825   -42.87847105 -35.60834482 -26.53224075 -22.09390516
 -20.69269254 -39.3844213  -26.73008918 -44.2625354  -24.35518837
 -33.83049868]",132,1.0805753443920887
51,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466 -26.21840519 -38.6486389
 -48.27779345 -42.27392304 -35.57560074 -48.1970569  -20.03668077
 -41.21934843 -30.6923142  -23.68082237 -42.46302295 -49.36981511
 -45.23936986 -32.19875763 -30.35077293 -37.6101613  -35.80145792
 -35.31673605 -42.92394121 -36.8506014  -26.44372118 -35.07081787
 -41.622825   -42.87847105 -35.60834482 -26.53224075 -22.09390516
 -20.69269254 -39.3844213  -26.73008918 -44.2625354  -24.35518837
 -33.83049868 -20.99849649]",166,0.9547741722573708
