episode,total_reward,total_intrusions,average_drift
36,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074]",346,0.6522057298705957
37,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866]",164,0.9268052516204538
38,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701]",64,0.9076641670681895
39,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507]",340,0.6772260179593813
40,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377]",312,1.067505705148798
41,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377 -14.22713195]",178,0.6418231260147318
42,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377 -14.22713195 -29.88677804]",244,0.7018562713982174
43,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377 -14.22713195 -29.88677804 -26.45329332]",198,0.7389863091203761
44,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377 -14.22713195 -29.88677804 -26.45329332 -14.36403781]",144,0.7023566475845527
45,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377 -14.22713195 -29.88677804 -26.45329332 -14.36403781
 -26.38528845]",172,0.7568207849954675
