episode,total_reward,total_intrusions,average_drift
41,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188 -23.39871739 -26.01018093 -28.47722937 -20.3896326
 -29.106137   -27.19058316]",166,1.2428015237248469
42,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188 -23.39871739 -26.01018093 -28.47722937 -20.3896326
 -29.106137   -27.19058316 -29.73774281]",254,1.1209041322205306
43,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188 -23.39871739 -26.01018093 -28.47722937 -20.3896326
 -29.106137   -27.19058316 -29.73774281 -23.8712082 ]",88,1.2810005394808706
44,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188 -23.39871739 -26.01018093 -28.47722937 -20.3896326
 -29.106137   -27.19058316 -29.73774281 -23.8712082  -26.80731858]",138,1.309692011836421
45,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188 -23.39871739 -26.01018093 -28.47722937 -20.3896326
 -29.106137   -27.19058316 -29.73774281 -23.8712082  -26.80731858
 -27.6744008 ]",212,1.1775448826067774
46,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188 -23.39871739 -26.01018093 -28.47722937 -20.3896326
 -29.106137   -27.19058316 -29.73774281 -23.8712082  -26.80731858
 -27.6744008  -19.16107373]",36,1.1421759031345784
47,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188 -23.39871739 -26.01018093 -28.47722937 -20.3896326
 -29.106137   -27.19058316 -29.73774281 -23.8712082  -26.80731858
 -27.6744008  -19.16107373 -24.40719569]",170,1.0465260320446608
48,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188 -23.39871739 -26.01018093 -28.47722937 -20.3896326
 -29.106137   -27.19058316 -29.73774281 -23.8712082  -26.80731858
 -27.6744008  -19.16107373 -24.40719569 -22.5179227 ]",128,1.0603896510750475
49,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188 -23.39871739 -26.01018093 -28.47722937 -20.3896326
 -29.106137   -27.19058316 -29.73774281 -23.8712082  -26.80731858
 -27.6744008  -19.16107373 -24.40719569 -22.5179227  -25.47620765]",276,0.9340966119301364
50,"[ -8.72598312  -7.02195627  -4.58292368  -8.14809266  -9.37536791
 -13.04656938 -15.32074618  -9.40250749 -11.55947782  -7.52196787
  -8.97433457  -7.63734398  -8.97401704 -17.24301519 -34.85628016
 -41.66084428 -30.56721358 -28.8712659  -35.34073783 -35.9487264
 -25.20013274 -30.99886133 -25.29332105 -24.04475189 -22.41851483
 -24.02002932 -34.3470024  -37.37135731 -37.80792395 -29.19684735
 -28.43461516 -32.27880338 -28.69334441 -31.32512809 -29.75605985
 -28.40490188 -23.39871739 -26.01018093 -28.47722937 -20.3896326
 -29.106137   -27.19058316 -29.73774281 -23.8712082  -26.80731858
 -27.6744008  -19.16107373 -24.40719569 -22.5179227  -25.47620765
 -27.95506146]",230,1.0825698330151785
