timesteps,episodes,total_reward,waypoints_completed,TimeLimit.truncated
219999,786,5,5,False
220238,787,5,5,False
220426,788,5,5,False
220721,789,5,5,False
220997,790,5,5,False
221169,791,5,5,False
221469,792,1,1,True
221581,793,5,5,False
221881,794,3,3,True
222181,795,2,2,True
222481,796,4,4,True
222696,797,5,5,False
222996,798,3,3,True
223296,799,4,4,True
223544,800,5,5,False
223844,801,1,1,True
223989,802,5,5,False
224153,803,5,5,False
224453,804,4,4,True
224739,805,5,5,False
225039,806,4,4,True
225339,807,4,4,True
225515,808,5,5,False
225648,809,5,5,False
225913,810,5,5,False
226051,811,5,5,False
226221,812,5,5,False
226521,813,3,3,True
226717,814,5,5,False
227017,815,3,3,True
227224,816,5,5,False
227524,817,2,2,True
227824,818,4,4,True
228045,819,5,5,False
228343,820,5,5,False
228643,821,1,1,True
228758,822,5,5,False
229058,823,2,2,True
229358,824,3,3,True
229658,825,4,4,True
229795,826,5,5,False
230080,827,5,5,False
230380,828,4,4,True
230680,829,2,2,True
230949,830,5,5,False
231249,831,4,4,True
231368,832,5,5,False
231668,833,2,2,True
231968,834,2,2,True
232105,835,5,5,False
232405,836,2,2,True
232705,837,1,1,True
232788,838,5,5,False
233050,839,5,5,False
233238,840,5,5,False
233379,841,5,5,False
233604,842,5,5,False
233904,843,3,3,True
234204,844,4,4,True
234504,845,2,2,True
234804,846,4,4,True
235104,847,2,2,True
235404,848,1,1,True
235565,849,5,5,False
235865,850,5,5,False
236165,851,2,2,True
236465,852,3,3,True
236765,853,4,4,True
236989,854,5,5,False
237241,855,5,5,False
237541,856,3,3,True
237841,857,2,2,True
238141,858,2,2,True
238334,859,5,5,False
238581,860,5,5,False
238871,861,5,5,False
239171,862,3,3,True
239412,863,5,5,False
239690,864,5,5,False
239855,865,5,5,False
240155,866,4,4,True
240316,867,5,5,False
240616,868,4,4,True
240874,869,5,5,False
241174,870,1,1,True
241474,871,0,0,True
241677,872,5,5,False
241977,873,4,4,True
242277,874,4,4,True
242577,875,2,2,True
242691,876,5,5,False
242991,877,3,3,True
243291,878,1,1,True
243516,879,5,5,False
243749,880,5,5,False
244049,881,4,4,True
244246,882,5,5,False
244424,883,5,5,False
244617,884,5,5,False
244917,885,4,4,True
245217,886,2,2,True
245459,887,5,5,False
245663,888,5,5,False
245963,889,3,3,True
246182,890,5,5,False
246482,891,3,3,True
246701,892,5,5,False
247001,893,4,4,True
247301,894,3,3,True
