episode,los_id,los_dist,los_qdr
64,"((3, 17), (4, 13))","(np.float64(0.034428104870025525), np.float64(0.10704079604441974))","(np.float64(176.83413528942765), np.float64(204.90890156442856))"
65,"((3, 10), (11, 12), (11, 18), (11, 19), (8, 18))","(np.float64(0.14861998398013274), np.float64(0.05821372898175737), np.float64(0.14395337389495294), np.float64(0.10750940286354219), np.float64(0.14363166185117282))","(np.float64(287.59805527978006), np.float64(293.59386484171995), np.float64(-229.6552193618753), np.float64(-273.50152231354167), np.float64(31.829014742648212))"
67,"((1, 18), (2, 3), (5, 6), (6, 13), (6, 16), (2, 12), (2, 10))","(np.float64(0.010939217891995284), np.float64(0.13530393936088844), np.float64(0.09891933587958544), np.float64(0.13020711289595618), np.float64(0.13649157531116973), np.float64(0.1419214632045507), np.float64(0.1412685668232638))","(np.float64(110.73433311359238), np.float64(7.464379369956362), np.float64(8.248978985398082), np.float64(-92.10922843374493), np.float64(-71.23747676277821), np.float64(112.04145473187708), np.float64(150.47031735946285))"
68,"((3, 14), (2, 14), (2, 12))","(np.float64(0.09786163305734209), np.float64(0.14233532838696286), np.float64(0.14439713696265621))","(np.float64(167.12733878978992), np.float64(174.2899796297761), np.float64(-161.50033750725038))"
69,"((10, 18),)","(np.float64(0.13164518238964),)","(np.float64(-165.44241340820867),)"
72,"((15, 16),)","(np.float64(0.04085772165009676),)","(np.float64(1.1436577093542724),)"
73,"((0, 10),)","(np.float64(0.11320624492655502),)","(np.float64(160.55977988542335),)"
74,"((3, 7),)","(np.float64(0.13058783262120846),)","(np.float64(-50.02918398199404),)"
75,"((3, 6), (4, 14))","(np.float64(0.11569779327502532), np.float64(0.13466481420764176))","(np.float64(211.27205674941501), np.float64(101.38198896474643))"
76,"((0, 8), (5, 14), (8, 15))","(np.float64(0.1283550630305079), np.float64(0.029033460133796145), np.float64(0.13993493490775014))","(np.float64(191.31298507212378), np.float64(147.60372639325917), np.float64(-162.7629149671621))"
77,"((2, 12), (6, 7), (6, 11), (9, 13))","(np.float64(0.05284655555762971), np.float64(0.13787680233858518), np.float64(0.10343344263474159), np.float64(0.12560881235037386))","(np.float64(-157.84027229988737), np.float64(-6.576343617533325), np.float64(-74.5842462491322), np.float64(-140.9423618190491))"
78,"((11, 19),)","(np.float64(0.14907929258060196),)","(np.float64(-163.4390243388608),)"
79,"((13, 14), (0, 12), (0, 13))","(np.float64(0.14575060086720074), np.float64(0.144657935218354), np.float64(0.1359784926609306))","(np.float64(-26.04287520126212), np.float64(-121.24051382564224), np.float64(-115.57021413582763))"
81,"((15, 19),)","(np.float64(0.07585104593661116),)","(np.float64(-101.13511027788388),)"
82,"((9, 19),)","(np.float64(0.14041750628792815),)","(np.float64(-176.95449633091596),)"
83,"((6, 16), (7, 14))","(np.float64(0.1190347380422803), np.float64(0.1042133628852434))","(np.float64(-298.3050797997493), np.float64(-266.2601550618568))"
84,"((3, 15),)","(np.float64(0.0993771162040771),)","(np.float64(72.14694828637175),)"
85,"((2, 13), (3, 14), (9, 19))","(np.float64(0.14324144578401884), np.float64(0.10256975620959839), np.float64(0.13777669913645094))","(np.float64(206.6385543452983), np.float64(194.44415110142018), np.float64(-168.76037533711195))"
86,"((9, 13), (2, 13), (3, 10))","(np.float64(0.04580070025594593), np.float64(0.04498475533402425), np.float64(0.14238608488141385))","(np.float64(150.19451621322844), np.float64(103.31373969386084), np.float64(-80.85845658548027))"
87,"((1, 3), (2, 15), (5, 16), (11, 18), (12, 16), (5, 12))","(np.float64(0.12390842599294433), np.float64(0.13355388407414284), np.float64(0.128933876178798), np.float64(0.14643042315173097), np.float64(0.037064757942646576), np.float64(0.10926479648743784))","(np.float64(10.88100206197737), np.float64(164.4222000116531), np.float64(166.17943957734985), np.float64(-11.14317651135795), np.float64(68.85611474047218), np.float64(7.324154533532948))"
88,"((10, 11), (10, 15), (8, 16))","(np.float64(0.10642458043595363), np.float64(0.14544964848416433), np.float64(0.12789891923696978))","(np.float64(92.81061327476061), np.float64(132.57849984953089), np.float64(115.97180976666982))"
89,"((1, 11), (3, 10), (3, 13), (9, 11))","(np.float64(0.12006531496165325), np.float64(0.047630381451984276), np.float64(0.14961385298216573), np.float64(0.08584601830458864))","(np.float64(168.89142110155126), np.float64(239.7787885729751), np.float64(194.53426205095894), np.float64(312.1865399595188))"
90,"((1, 14), (4, 7), (7, 13), (5, 13))","(np.float64(0.13890631328715192), np.float64(0.11851945294083027), np.float64(0.0549500030849309), np.float64(0.12893593715058094))","(np.float64(104.0973095085119), np.float64(-17.615719368420116), np.float64(254.95742566491407), np.float64(-69.66010839484346))"
92,"((0, 15), (1, 14))","(np.float64(0.1151536658320806), np.float64(0.13237782861444589))","(np.float64(88.30712501541765), np.float64(100.4977378183612))"
93,"((5, 17),)","(np.float64(0.12791670005304767),)","(np.float64(170.48642621648472),)"
94,"((7, 16),)","(np.float64(0.1441534736289385),)","(np.float64(-168.87496527131293),)"
95,"((2, 18), (16, 18))","(np.float64(0.059951587915325004), np.float64(0.1462958926886365))","(np.float64(69.98835534114465), np.float64(-45.90729459059028))"
96,"((1, 16), (6, 14))","(np.float64(0.14445512419699316), np.float64(0.14631497824467202))","(np.float64(83.1855330896023), np.float64(73.24872107331424))"
97,"((2, 9), (0, 9))","(np.float64(0.03563748999288283), np.float64(0.11653613831473182))","(np.float64(164.76939026138587), np.float64(213.67470140194666))"
98,"((12, 15), (12, 16))","(np.float64(0.11363006352510384), np.float64(0.12063600331975452))","(np.float64(-57.281803229803074), np.float64(334.6015073901751))"
99,"((5, 19), (6, 18), (12, 19))","(np.float64(0.10517859781881932), np.float64(0.1123931171428965), np.float64(0.11998306148236229))","(np.float64(161.71668282616264), np.float64(194.31744909023195), np.float64(137.81050060953396))"
101,"((16, 17), (10, 19))","(np.float64(0.10525220379065905), np.float64(0.12055104276697089))","(np.float64(-1.4799632904621092), np.float64(-77.20321577409271))"
102,"((9, 18), (4, 6))","(np.float64(0.11733620352112975), np.float64(0.14626422631747052))","(np.float64(-132.32295627025337), np.float64(150.45023825581762))"
103,"((1, 9), (14, 17), (1, 7), (0, 8))","(np.float64(0.10587176331083484), np.float64(0.09787757776946804), np.float64(0.1438189481675855), np.float64(0.14709097472531366))","(np.float64(-203.1544704980763), np.float64(1.6341278281685732), np.float64(176.43253841320683), np.float64(53.825730826108895))"
105,"((1, 2), (8, 14), (10, 18), (10, 14), (9, 15))","(np.float64(0.0844906910139481), np.float64(0.13304058652026637), np.float64(0.13108575440943643), np.float64(0.1453924588769652), np.float64(0.13038617563307223))","(np.float64(30.70177159906433), np.float64(175.38918751929043), np.float64(158.95749150450695), np.float64(199.5848398079957), np.float64(-4.782764160900911))"
107,"((2, 7), (9, 11), (7, 12))","(np.float64(0.14818867931493473), np.float64(0.14375235093111524), np.float64(0.1487653435331903))","(np.float64(-110.37041465540341), np.float64(224.51474926046689), np.float64(204.37338602783655))"
109,"((2, 12), (7, 18))","(np.float64(0.10352679914968063), np.float64(0.13610483806899298))","(np.float64(198.63003622022438), np.float64(-202.22683539299987))"
110,"((5, 16), (6, 16))","(np.float64(0.14591349192175518), np.float64(0.14868643022409858))","(np.float64(226.0803169897025), np.float64(-127.85533678421558))"
111,"((1, 13), (1, 17), (9, 17), (13, 17), (9, 13), (7, 9), (7, 13), (3, 15))","(np.float64(0.03458252337413457), np.float64(0.10480599181401161), np.float64(0.1062430391756328), np.float64(0.07786767824796305), np.float64(0.12324532805574662), np.float64(0.07538563207744135), np.float64(0.12401757108288312), np.float64(0.1454081617368951))","(np.float64(204.08155656647546), np.float64(69.75646534120574), np.float64(-159.41250679249328), np.float64(-134.32509122526972), np.float64(-25.08724009114934), np.float64(243.32747321983288), np.float64(235.01987904848335), np.float64(218.6449897664018))"
112,"((1, 16), (10, 19))","(np.float64(0.08302142387349659), np.float64(0.06296661762623953))","(np.float64(94.15360474171851), np.float64(-103.79276713636685))"
113,"((13, 17), (11, 14))","(np.float64(0.13243956975355634), np.float64(0.14030836250735065))","(np.float64(-148.6674907719648), np.float64(-119.57958706841714))"
114,"((3, 10), (7, 17))","(np.float64(0.0635297168045908), np.float64(0.14541355325516592))","(np.float64(170.77711239593407), np.float64(-3.5145242318921532))"
115,"((2, 19),)","(np.float64(0.11932607207219312),)","(np.float64(192.41471275035212),)"
116,"((6, 11),)","(np.float64(0.13489354298112968),)","(np.float64(264.87217070767707),)"
119,"((0, 1),)","(np.float64(0.14255289082065908),)","(np.float64(-44.145680325487916),)"
120,"((2, 6), (8, 19))","(np.float64(0.04720353866484777), np.float64(0.14027092104588004))","(np.float64(-112.4511698892515), np.float64(104.47607931705275))"
121,"((3, 9), (4, 15), (8, 14), (7, 19), (14, 15))","(np.float64(0.14659735560379966), np.float64(0.04139204931696917), np.float64(0.11059223560904262), np.float64(0.14198496927401533), np.float64(0.1481748927067505))","(np.float64(224.60378111875946), np.float64(70.52421639324655), np.float64(13.897768530529447), np.float64(153.6147506937936), np.float64(-170.3892852554008))"
122,"((8, 16), (2, 4))","(np.float64(0.037468063238522954), np.float64(0.1429651830048742))","(np.float64(-146.50692462315948), np.float64(116.72090655979295))"
123,"((5, 12),)","(np.float64(0.14692608478968733),)","(np.float64(334.55691318688054),)"
127,"((1, 5), (9, 19), (1, 13))","(np.float64(0.1368813715854495), np.float64(0.14299409684148046), np.float64(0.14550692089796569))","(np.float64(2.292518498011077), np.float64(-186.82176230643597), np.float64(165.18999977356196))"
128,"((4, 11), (9, 17))","(np.float64(0.14250570659066128), np.float64(0.14315734354792872))","(np.float64(269.68389526655534), np.float64(132.03439408585913))"
129,"((3, 17), (5, 15))","(np.float64(0.04722693002714984), np.float64(0.1426213350602415))","(np.float64(208.30514861605684), np.float64(-95.08924745645152))"
130,"((9, 15),)","(np.float64(0.09703448724751351),)","(np.float64(-139.0116606246495),)"
131,"((15, 18), (7, 17))","(np.float64(0.1428559717697876), np.float64(0.1442420496948524))","(np.float64(-116.80097615100439), np.float64(-179.52499636650066))"
133,"((3, 12), (11, 13), (10, 15))","(np.float64(0.1449006339199518), np.float64(0.09111731178632798), np.float64(0.14704384568228165))","(np.float64(-162.03926888121822), np.float64(-52.60528833547943), np.float64(-84.6060439251169))"
135,"((4, 9), (5, 15), (7, 19), (12, 16))","(np.float64(0.08899218515158486), np.float64(0.12062730982160629), np.float64(0.06048120795634374), np.float64(0.13106813875857268))","(np.float64(-39.535133427485334), np.float64(-194.9670632975908), np.float64(-194.81325563700432), np.float64(-167.51091995285327))"
136,"((4, 6), (7, 18))","(np.float64(0.10957517196596044), np.float64(0.1227226899428176))","(np.float64(272.08722508086805), np.float64(189.022472373762))"
137,"((5, 7), (3, 11), (15, 18))","(np.float64(0.13479101303738783), np.float64(0.14005344443732656), np.float64(0.14862247589585378))","(np.float64(-79.56096070656031), np.float64(226.20826742287272), np.float64(-207.7497854594087))"
138,"((0, 12), (7, 11))","(np.float64(0.11093212844238472), np.float64(0.14865829616329498))","(np.float64(148.72142521857137), np.float64(-76.92070208067577))"
139,"((8, 12),)","(np.float64(0.11685288071410992),)","(np.float64(-23.48504212096367),)"
140,"((4, 6),)","(np.float64(0.14394600340013397),)","(np.float64(-5.080547120644837),)"
141,"((0, 18), (4, 17), (12, 18))","(np.float64(0.11360826017792275), np.float64(0.14116382979322772), np.float64(0.1496031239856189))","(np.float64(1.9660443837814228), np.float64(-255.33714187883714), np.float64(-196.8125214995423))"
142,"((0, 15), (12, 17), (2, 17))","(np.float64(0.06144970511009569), np.float64(0.08177612266827232), np.float64(0.1480640123992104))","(np.float64(180.01613735054116), np.float64(-64.57895541908107), np.float64(76.3199529102036))"
143,"((0, 3), (1, 14), (2, 13), (3, 16))","(np.float64(0.09764550492165118), np.float64(0.11523626089195559), np.float64(0.14724774601207166), np.float64(0.12305895739056587))","(np.float64(138.00351048850382), np.float64(84.62800733870995), np.float64(74.69697106664694), np.float64(-15.51363001222137))"
144,"((4, 10), (10, 18), (5, 11), (4, 13), (2, 8))","(np.float64(0.13502779625124367), np.float64(0.008200091578670125), np.float64(0.14448285765726748), np.float64(0.1355159159022143), np.float64(0.1236657894740733))","(np.float64(-29.01748371763466), np.float64(125.08856816135847), np.float64(107.32796927811972), np.float64(96.44665074058355), np.float64(-133.46642238910607))"
145,"((5, 8), (0, 12))","(np.float64(0.12370322339877725), np.float64(0.1448715251507362))","(np.float64(-59.33446542100751), np.float64(156.37671057282847))"
146,"((0, 10), (6, 13))","(np.float64(0.1281657429925883), np.float64(0.13325382772747413))","(np.float64(33.08847402835843), np.float64(161.38147810525822))"
147,"((10, 15),)","(np.float64(0.1000870691708967),)","(np.float64(256.6642002085328),)"
148,"((5, 7), (8, 9), (7, 18))","(np.float64(0.08323497368319412), np.float64(0.12433242291551233), np.float64(0.14667142140566555))","(np.float64(292.65283706083335), np.float64(-70.40472253945904), np.float64(-235.31815299774252))"
149,"((0, 15), (10, 18), (5, 19))","(np.float64(0.0733268586970666), np.float64(0.08715230904430048), np.float64(0.1434685330384132))","(np.float64(190.609760404458), np.float64(-170.08820268073345), np.float64(141.02893062526226))"
150,"((5, 18), (3, 12), (2, 13))","(np.float64(0.14887812577597292), np.float64(0.08334610035679786), np.float64(0.14164690128819812))","(np.float64(134.2945933239825), np.float64(-194.88700765901126), np.float64(189.10862556977108))"
151,"((6, 8), (1, 6), (6, 12), (2, 10))","(np.float64(0.09536959436990014), np.float64(0.14333740512960225), np.float64(0.14154635962528292), np.float64(0.14466895603995933))","(np.float64(-71.0708332830929), np.float64(129.2406271800491), np.float64(-72.01222128338367), np.float64(109.6747230802855))"
152,"((4, 10),)","(np.float64(0.14955874929643148),)","(np.float64(197.309386143901),)"
153,"((0, 6), (8, 11))","(np.float64(0.14416424261176325), np.float64(0.11811534430512467))","(np.float64(249.02925124424274), np.float64(17.374057167160572))"
154,"((17, 18),)","(np.float64(0.09827310527004392),)","(np.float64(34.780631380664886),)"
155,"((2, 4), (5, 12), (10, 14))","(np.float64(0.10904426427552287), np.float64(0.1450010260999493), np.float64(0.1450820822824245))","(np.float64(-17.867205895091786), np.float64(-110.8190758228398), np.float64(-134.4715816701734))"
157,"((0, 6), (1, 15), (1, 16), (15, 16), (7, 14))","(np.float64(0.14191996336863164), np.float64(0.062202978080495394), np.float64(0.14531657751222304), np.float64(0.03130958895558664), np.float64(0.13956668065711827))","(np.float64(-156.1189490898344), np.float64(248.81367112412647), np.float64(142.89257200654225), np.float64(-60.92110102493285), np.float64(-18.256440229516215))"
158,"((1, 18), (18, 19), (6, 17))","(np.float64(0.09520759414537999), np.float64(0.1448645328704623), np.float64(0.14841903599272094))","(np.float64(168.6644303548523), np.float64(-108.15086141796519), np.float64(-154.29201264606468))"
160,"((14, 15),)","(np.float64(0.1236509035897671),)","(np.float64(-45.627420164302805),)"
161,"((7, 18), (0, 11))","(np.float64(0.13279957648752572), np.float64(0.14603249066529414))","(np.float64(-98.37389136966999), np.float64(90.56130204457546))"
162,"((4, 10),)","(np.float64(0.14014965314240743),)","(np.float64(-89.62744723260835),)"
163,"((1, 13), (2, 8))","(np.float64(0.14648174952714918), np.float64(0.14570378117121166))","(np.float64(-106.0530710714632), np.float64(211.79146191663085))"
164,"((1, 4),)","(np.float64(0.1136427195565104),)","(np.float64(21.727870830940105),)"
165,"((3, 17),)","(np.float64(0.13534117906616244),)","(np.float64(-221.04151245232651),)"
167,"((1, 4), (0, 8), (7, 18))","(np.float64(0.11581668903260758), np.float64(0.13429511402180472), np.float64(0.1343151695929441))","(np.float64(15.409063894185977), np.float64(-90.82897478108237), np.float64(175.44534153648675))"
168,"((3, 5), (10, 15), (5, 9), (2, 13))","(np.float64(0.10317482021241149), np.float64(0.11893640117586238), np.float64(0.14667603036660584), np.float64(0.14703982310452363))","(np.float64(299.94789598412797), np.float64(-93.56061186663203), np.float64(19.168856270133347), np.float64(178.48063148474205))"
