episode,los_id,los_dist,los_qdr
64,"((1, 3), (2, 3))","(np.float64(0.06612034531591866), np.float64(0.14762471800495527))","(np.float64(-58.00083890820804), np.float64(-40.414231539867615))"
66,"((1, 13), (9, 17))","(np.float64(0.09249522254577598), np.float64(0.14660645044157483))","(np.float64(164.71889789108087), np.float64(-126.82948727341622))"
68,"((2, 8), (8, 14), (12, 19))","(np.float64(0.11911881165120079), np.float64(0.13728497033909132), np.float64(0.12092008813721483))","(np.float64(252.59502180413443), np.float64(-230.16578050848003), np.float64(-163.56737144269385))"
69,"((5, 6), (15, 19), (16, 19))","(np.float64(0.14933942185448612), np.float64(0.08117693189213358), np.float64(0.1323201527016701))","(np.float64(336.4950416593244), np.float64(-83.34907320083951), np.float64(-223.12116200658258))"
70,"((3, 4), (5, 13), (9, 13), (5, 11))","(np.float64(0.14134780927363014), np.float64(0.0929209516959637), np.float64(0.11133892097140666), np.float64(0.1174625872283432))","(np.float64(-8.886455819538128), np.float64(-105.38368179833431), np.float64(-13.048506830196501), np.float64(170.80595139145265))"
71,"((0, 9), (6, 19))","(np.float64(0.06417453820976884), np.float64(0.1266620528378508))","(np.float64(203.08486085075276), np.float64(-228.99193914102426))"
73,"((5, 14), (6, 7))","(np.float64(0.12398042680753404), np.float64(0.11471836010398759))","(np.float64(144.3007385593938), np.float64(11.786736123696784))"
74,"((0, 4),)","(np.float64(0.123150538738095),)","(np.float64(-39.53180887168884),)"
75,"((1, 15), (2, 6), (16, 18), (10, 11))","(np.float64(0.05117963493488909), np.float64(0.006458302976474382), np.float64(0.13914482040053994), np.float64(0.1498221606489413))","(np.float64(128.7893446470485), np.float64(-5.0306243436449165), np.float64(-91.77264146061934), np.float64(-14.354020670142063))"
76,"((0, 3), (12, 15))","(np.float64(0.08784111065318706), np.float64(0.12931108852620046))","(np.float64(-78.28937048438047), np.float64(-51.219052321429345))"
77,"((3, 11), (6, 19), (9, 15), (3, 14))","(np.float64(0.09989684073151263), np.float64(0.06701739055599937), np.float64(0.12960120426083013), np.float64(0.13381219939318098))","(np.float64(252.47686577042572), np.float64(67.46267665904344), np.float64(-36.82894003676695), np.float64(9.786412031609135))"
78,"((2, 16), (6, 19), (13, 14))","(np.float64(0.030072894019114834), np.float64(0.10366412328708507), np.float64(0.12216352373407331))","(np.float64(130.7588211611107), np.float64(-244.68373583157216), np.float64(-288.8072898267824))"
79,"((0, 19), (1, 17))","(np.float64(0.13687487839182857), np.float64(0.10934180359090015))","(np.float64(5.352790544620461), np.float64(20.016114326467232))"
80,"((1, 5), (11, 15))","(np.float64(0.12325792641105666), np.float64(0.13895539191877462))","(np.float64(-119.91395662358545), np.float64(-87.95134946189033))"
81,"((6, 9), (1, 12), (7, 9), (6, 16))","(np.float64(0.07980093205601126), np.float64(0.1432803203688496), np.float64(0.12915629765229059), np.float64(0.14542687371536883))","(np.float64(-17.886968356495714), np.float64(-127.99853311946026), np.float64(-27.37334957537479), np.float64(132.89865393407746))"
82,"((6, 13), (8, 14), (11, 12))","(np.float64(0.14670969005503154), np.float64(0.04397082053631489), np.float64(0.02729328751701887))","(np.float64(149.08604853510417), np.float64(98.68027336573232), np.float64(1.606683161214832))"
83,"((1, 10), (2, 3))","(np.float64(0.1065680034361893), np.float64(0.11791602371773612))","(np.float64(132.4882366311528), np.float64(-2.7919191718788454))"
84,"((0, 3), (12, 19))","(np.float64(0.0448504979653592), np.float64(0.11773987929859221))","(np.float64(-62.5129524002777), np.float64(-123.16321237564138))"
85,"((5, 8), (6, 15))","(np.float64(0.11299152705643754), np.float64(0.07920262031545014))","(np.float64(-41.486627587721344), np.float64(-131.75091745798886))"
86,"((2, 8), (2, 18), (9, 10))","(np.float64(0.12229048380273481), np.float64(0.08851887512588884), np.float64(0.08154879665533628))","(np.float64(174.82305039846955), np.float64(165.18002078269052), np.float64(-18.39930017138316))"
87,"((1, 4), (10, 15), (15, 18))","(np.float64(0.12130670600522676), np.float64(0.14701936329385507), np.float64(0.13031894213906817))","(np.float64(204.9635584042706), np.float64(-30.385404022011173), np.float64(-66.51759538564659))"
88,"((0, 12), (6, 16), (8, 15))","(np.float64(0.030987243844296297), np.float64(0.11356637783524973), np.float64(0.14939461083963498))","(np.float64(136.75575500323976), np.float64(110.33542903279255), np.float64(-10.718651486914382))"
89,"((4, 18), (1, 2))","(np.float64(0.09105920494021447), np.float64(0.14791149247233637))","(np.float64(46.533227313422856), np.float64(115.08002464328683))"
90,"((1, 18), (2, 6))","(np.float64(0.14578608724439043), np.float64(0.10416204466026398))","(np.float64(26.621961113237774), np.float64(259.76450315940946))"
91,"((3, 13), (6, 15), (13, 19))","(np.float64(0.09321236724087521), np.float64(0.13276623973791976), np.float64(0.13817895787303455))","(np.float64(209.86942151416628), np.float64(233.0497466447539), np.float64(4.388519286592214))"
92,"((0, 10), (1, 15), (2, 18), (4, 6))","(np.float64(0.10964871178265863), np.float64(0.058695228298717504), np.float64(0.13648933376375963), np.float64(0.08410099044124124))","(np.float64(215.2724825303253), np.float64(-42.927759723043096), np.float64(0.8715566234186554), np.float64(-3.0626358159191227))"
93,"((0, 9), (6, 7), (10, 19), (8, 15), (6, 16), (8, 16), (8, 17), (7, 16))","(np.float64(0.0803499502667197), np.float64(0.09988655442083602), np.float64(0.12782828845011038), np.float64(0.11006449744824377), np.float64(0.12728355107577374), np.float64(0.10746487182835211), np.float64(0.14982817914893548), np.float64(0.14853530878169702))","(np.float64(164.53789631479873), np.float64(331.56652662432765), np.float64(-107.7600229880894), np.float64(197.8121908739942), np.float64(127.12889389483206), np.float64(85.92392285175049), np.float64(214.92263635340584), np.float64(-155.2842777101138))"
94,"((2, 3), (1, 4), (7, 19))","(np.float64(0.10822545707493204), np.float64(0.13576123411150334), np.float64(0.13864725037610173))","(np.float64(9.166938989623375), np.float64(158.75951165132005), np.float64(-115.13374574343696))"
95,"((3, 18),)","(np.float64(0.03992834840298018),)","(np.float64(85.4479637971811),)"
96,"((0, 6), (3, 13))","(np.float64(0.11055738576993533), np.float64(0.08999356228881814))","(np.float64(245.99266734667435), np.float64(109.92428058497377))"
97,"((2, 18), (3, 19), (13, 18), (13, 14))","(np.float64(0.12296646534049842), np.float64(0.14882492585194831), np.float64(0.13884824971120793), np.float64(0.10547734717633266))","(np.float64(142.3225395071406), np.float64(-204.88231221214016), np.float64(-145.66431054260437), np.float64(224.36499303825502))"
98,"((0, 14), (0, 17), (9, 12), (12, 19))","(np.float64(0.07038029237756985), np.float64(0.14910921510736233), np.float64(0.1128143818093455), np.float64(0.13831184373468172))","(np.float64(116.73116123666433), np.float64(29.897227864655008), np.float64(-44.738167619816494), np.float64(-154.9571060008391))"
99,"((2, 8), (7, 9), (7, 18), (9, 12))","(np.float64(0.0934281458799869), np.float64(0.13445348948973337), np.float64(0.06475318609376779), np.float64(0.14878791487740112))","(np.float64(262.4371768298504), np.float64(3.8330716748238274), np.float64(-160.62494753414546), np.float64(-89.47781713913079))"
100,"((5, 10), (5, 14), (3, 5), (10, 12))","(np.float64(0.11213082436722341), np.float64(0.14295410855906904), np.float64(0.14796555760787172), np.float64(0.13500038479549217))","(np.float64(242.97957523592027), np.float64(-208.40587945951955), np.float64(211.67131190293173), np.float64(-68.12706766792704))"
101,"((3, 16), (5, 19), (5, 8))","(np.float64(0.1221564663817485), np.float64(0.09629133561382966), np.float64(0.14793462635779353))","(np.float64(108.7988256267895), np.float64(65.15863542631098), np.float64(80.383198755298))"
