episode,los_id,los_dist,los_qdr
48,"((1, 6), (1, 8), (4, 7), (6, 8), (7, 11), (0, 6), (4, 16))","(np.float64(0.07852085298753955), np.float64(0.06596944951636292), np.float64(0.059755155434856336), np.float64(0.07761872647753425), np.float64(0.14842755182288334), np.float64(0.1376512615117698), np.float64(0.14159998310527733))","(np.float64(230.56541211888617), np.float64(107.42423724043772), np.float64(224.78440163212133), np.float64(-78.14117487844845), np.float64(0.02391396653342781), np.float64(249.69318441730343), np.float64(61.020014487874334))"
49,"((1, 3),)","(np.float64(0.07824018144578372),)","(np.float64(-8.821172888131969),)"
50,"((15, 18), (16, 18), (0, 15), (0, 13), (7, 9))","(np.float64(0.14377897524271085), np.float64(0.13581128515855162), np.float64(0.1417351903714107), np.float64(0.14273433541002478), np.float64(0.14789648696642885))","(np.float64(-73.51361585922257), np.float64(-105.77161385457873), np.float64(92.84140907012903), np.float64(176.54321163369377), np.float64(216.1646034960773))"
51,"((2, 16), (4, 16), (7, 17), (7, 19), (0, 17), (2, 15))","(np.float64(0.0626612205518911), np.float64(0.14049258852766167), np.float64(0.028293659205354656), np.float64(0.05098291512995375), np.float64(0.13770886225587567), np.float64(0.13387610293192678))","(np.float64(73.11476737449127), np.float64(140.04187550753946), np.float64(-116.4745862236102), np.float64(-96.73922962281407), np.float64(22.90811473922622), np.float64(112.17312737010121))"
52,"((2, 9), (10, 18))","(np.float64(0.0821699138129738), np.float64(0.14844753048015166))","(np.float64(229.8720377209396), np.float64(-177.2889597550933))"
53,"((6, 10), (8, 18), (1, 13), (6, 13))","(np.float64(0.13484169551663877), np.float64(0.14694607638274562), np.float64(0.03481897854265119), np.float64(0.1458841284109777))","(np.float64(-60.20412463342166), np.float64(-234.5638933622704), np.float64(203.62842211917223), np.float64(-68.7478260686953))"
55,"((1, 2), (4, 17), (2, 4))","(np.float64(0.07781270072185767), np.float64(0.12564849007815648), np.float64(0.1408886574158614))","(np.float64(304.1741604605666), np.float64(186.4511598796866), np.float64(38.73760988492933))"
57,"((11, 19), (5, 9), (9, 17))","(np.float64(0.1075616283910581), np.float64(0.1387363393514592), np.float64(0.1460295004879995))","(np.float64(-162.88004296700393), np.float64(257.9758974930734), np.float64(-205.37154782220654))"
58,"((0, 15), (7, 14), (9, 16), (13, 19))","(np.float64(0.07640092378070945), np.float64(0.1287270759102574), np.float64(0.07783843976208003), np.float64(0.11977626068853725))","(np.float64(83.81121279588712), np.float64(195.0977346624672), np.float64(156.7168102019652), np.float64(42.172273650042314))"
59,"((1, 7), (2, 18), (10, 16), (10, 17), (16, 17))","(np.float64(0.008376929958949113), np.float64(0.14178114614233078), np.float64(0.09064936132468325), np.float64(0.08747428290108146), np.float64(0.1287169050722856))","(np.float64(-130.16239423258705), np.float64(88.16339553978077), np.float64(134.0154367667934), np.float64(162.7911590075168), np.float64(28.775722240723383))"
61,"((2, 4), (7, 9), (9, 17))","(np.float64(0.13472506176265364), np.float64(0.11650041066091023), np.float64(0.12281453058735256))","(np.float64(-39.26105508315794), np.float64(-45.969930292467666), np.float64(-24.225581534396355))"
62,"((1, 18), (7, 11))","(np.float64(0.07171988316616414), np.float64(0.02251824872297397))","(np.float64(167.55839542699664), np.float64(-97.78733232015753))"
63,"((10, 12), (7, 17))","(np.float64(0.10372481573965871), np.float64(0.13847108450157516))","(np.float64(79.07451465343343), np.float64(150.2446283374636))"
64,"((7, 18), (12, 17))","(np.float64(0.12244169144522354), np.float64(0.14768284047844613))","(np.float64(189.54948116719885), np.float64(-156.06719314182197))"
65,"((4, 8),)","(np.float64(0.1232112551118843),)","(np.float64(233.69729829791441),)"
66,"((2, 12), (15, 18), (3, 10))","(np.float64(0.025009274684450633), np.float64(0.14748443958962382), np.float64(0.14951471277781536))","(np.float64(222.48759986551175), np.float64(-288.21138263508817), np.float64(306.7110967228438))"
67,"((0, 16), (3, 17))","(np.float64(0.14638080416176008), np.float64(0.07007543449126893))","(np.float64(180.75634233242795), np.float64(-96.3175404396016))"
68,"((1, 19), (1, 12), (3, 12))","(np.float64(0.13673830318266086), np.float64(0.1386998319217157), np.float64(0.14465479828045266))","(np.float64(32.02455021564009), np.float64(196.44685589793028), np.float64(184.01791190503508))"
69,"((3, 13), (4, 16), (8, 17), (1, 9))","(np.float64(0.06688747213638215), np.float64(0.12168899093896376), np.float64(0.12473320744997397), np.float64(0.09902774527764953))","(np.float64(179.96218717359), np.float64(-11.181909727946902), np.float64(-87.32294675084881), np.float64(162.43984268695448))"
70,"((10, 12), (2, 5))","(np.float64(0.13405953721041405), np.float64(0.13264257312616856))","(np.float64(-94.0312819369334), np.float64(-158.6452949164536))"
71,"((10, 18), (14, 17))","(np.float64(0.06044702874816841), np.float64(0.13257750294358742))","(np.float64(-195.98568341631218), np.float64(-66.45657644179482))"
72,"((15, 18), (7, 18))","(np.float64(0.1228817343467094), np.float64(0.14594772450221735))","(np.float64(-50.3107441872196), np.float64(-146.6152491588786))"
