episode,los_id,los_dist,los_qdr
57,"((5, 9),)","(np.float64(0.13814875341248536),)","(np.float64(-151.49150713867192),)"
58,"((2, 4), (16, 18))","(np.float64(0.12847442301668566), np.float64(0.12767004158054443))","(np.float64(-78.86205821428803), np.float64(-15.670804208827917))"
60,"((1, 18), (2, 12))","(np.float64(0.1409298262073114), np.float64(0.12293875691170095))","(np.float64(155.42935065377333), np.float64(197.57786630188815))"
61,"((2, 16), (10, 13))","(np.float64(0.09197500637720325), np.float64(0.13447653922975059))","(np.float64(97.23317869338277), np.float64(10.3424755426596))"
62,"((1, 6), (1, 10), (2, 4), (3, 5), (6, 10), (1, 12))","(np.float64(0.0810419101073371), np.float64(0.13972830422290597), np.float64(0.146481531842246), np.float64(0.08688903315838031), np.float64(0.06980946004532038), np.float64(0.14622820026261008))","(np.float64(-71.43967015345123), np.float64(227.19948412974577), np.float64(41.633346087639666), np.float64(-61.03400050249377), np.float64(298.639154283197), np.float64(196.52337264919413))"
63,"((1, 14), (12, 16))","(np.float64(0.10411719241105982), np.float64(0.14765213855693277))","(np.float64(327.4932155856289), np.float64(-16.520410788546656))"
64,"((2, 7), (6, 19))","(np.float64(0.11430148087061572), np.float64(0.1083280505080723))","(np.float64(248.26194504684258), np.float64(-172.16856846902596))"
65,"((10, 15),)","(np.float64(0.14506585330810287),)","(np.float64(254.81322767166643),)"
66,"((6, 15), (12, 18), (2, 9))","(np.float64(0.08636982500955309), np.float64(0.13593380218863557), np.float64(0.13366859655691302))","(np.float64(175.41908940928408), np.float64(-121.21664096495724), np.float64(316.1013540801138))"
68,"((2, 3),)","(np.float64(0.09070159551042274),)","(np.float64(-316.3339739238809),)"
69,"((0, 7), (12, 19))","(np.float64(0.03929015880714071), np.float64(0.11177360625997183))","(np.float64(142.82246081129256), np.float64(-137.5283054781832))"
70,"((1, 9), (2, 3), (12, 17), (13, 15), (2, 15), (5, 17))","(np.float64(0.10812016608566499), np.float64(0.08804325603439318), np.float64(0.13656602039505514), np.float64(0.09428440482336961), np.float64(0.07578456763658922), np.float64(0.14899987017313013))","(np.float64(-179.9967484593618), np.float64(-57.733368068977654), np.float64(-54.44247919935708), np.float64(-0.12193245943018383), np.float64(126.14439768094417), np.float64(171.06552499560007))"
71,"((6, 7), (12, 14), (8, 15))","(np.float64(0.042238472482927565), np.float64(0.05330704471784538), np.float64(0.1401372795206051))","(np.float64(-91.33305936568104), np.float64(-62.28207616586968), np.float64(-138.7676446551314))"
73,"((2, 4), (2, 8))","(np.float64(0.14212013870026174), np.float64(0.1279386379489372))","(np.float64(-60.230806888070674), np.float64(223.24633229253192))"
75,"((16, 18),)","(np.float64(0.13626619508499696),)","(np.float64(29.495406717677895),)"
76,"((7, 11), (15, 19))","(np.float64(0.0954390664559723), np.float64(0.1491754549024156))","(np.float64(253.2290045785071), np.float64(-100.1420677890467))"
77,"((0, 19), (9, 11))","(np.float64(0.14817980900399097), np.float64(0.039564518746644135))","(np.float64(45.39334205446053), np.float64(-60.01065717823849))"
78,"((2, 14), (15, 19))","(np.float64(0.0763392942718549), np.float64(0.14928036675347617))","(np.float64(205.87242787759754), np.float64(-225.61315629241096))"
79,"((3, 8),)","(np.float64(0.1413003010729843),)","(np.float64(-107.76485663006866),)"
81,"((6, 13),)","(np.float64(0.11528111854482617),)","(np.float64(253.0350484894459),)"
82,"((4, 13),)","(np.float64(0.13494335609878177),)","(np.float64(259.763408593798),)"
84,"((7, 19), (3, 13), (2, 13))","(np.float64(0.1044707244687888), np.float64(0.1414861357665405), np.float64(0.1352279314017815))","(np.float64(-227.67141155197805), np.float64(319.4236133094684), np.float64(300.5288398621938))"
85,"((2, 14), (8, 17), (8, 18))","(np.float64(0.127735016631942), np.float64(0.1484287405838836), np.float64(0.13626088355749524))","(np.float64(217.3858441656738), np.float64(-146.7638357161826), np.float64(-192.28714403858714))"
