episode,los_id,los_dist,los_qdr
61,"((1, 8), (2, 9), (6, 10), (13, 17), (15, 18), (10, 16), (9, 16), (10, 14), (3, 10), (3, 14))","(np.float64(0.12468172050513783), np.float64(0.02401579357070496), np.float64(0.12226082107803518), np.float64(0.11230046203813533), np.float64(0.059791085777747305), np.float64(0.13955405228000026), np.float64(0.12109064743237526), np.float64(0.10600784550017217), np.float64(0.1286846755369519), np.float64(0.14456439888728834))","(np.float64(-90.02763916516913), np.float64(10.854361930732011), np.float64(-39.253054673663996), np.float64(146.3723084739408), np.float64(109.14903279863631), np.float64(216.6719013140526), np.float64(123.02314837330054), np.float64(269.4586462614675), np.float64(-20.287022428157485), np.float64(204.64308277906252))"
62,"((0, 3), (0, 6), (1, 13), (3, 6), (8, 16), (3, 13))","(np.float64(0.14253646319345611), np.float64(0.14140246077440347), np.float64(0.07784554888699022), np.float64(0.09888354211453923), np.float64(0.13898935307353016), np.float64(0.07293884228648047))","(np.float64(-59.47181386300974), np.float64(-61.4632211489195), np.float64(126.27388669892595), np.float64(-1.9914072859097587), np.float64(188.7946156328439), np.float64(176.39814167228843))"
63,"((0, 7), (1, 10), (3, 17), (5, 17), (13, 15), (1, 14))","(np.float64(0.14322261342089312), np.float64(0.12537398978201364), np.float64(0.13462920316953983), np.float64(0.11098488375530266), np.float64(0.13595404933163377), np.float64(0.14474347089482759))","(np.float64(197.89978305312667), np.float64(186.67653529340146), np.float64(43.87337795893521), np.float64(-189.93366569550727), np.float64(-54.40327731924492), np.float64(20.274890375574216))"
64,"((1, 10),)","(np.float64(0.1333340435815199),)","(np.float64(171.26382958117273),)"
65,"((6, 14),)","(np.float64(0.12672229586460423),)","(np.float64(256.7955482120928),)"
66,"((4, 7), (6, 12))","(np.float64(0.07497173586892772), np.float64(0.12848250441687345))","(np.float64(-64.43202220443823), np.float64(-37.50424798038841))"
67,"((7, 11), (11, 15), (0, 19))","(np.float64(0.1451790817272623), np.float64(0.13441943252133667), np.float64(0.12863361020211103))","(np.float64(-79.69765581320684), np.float64(-92.69752482697061), np.float64(133.68413391045706))"
68,"((3, 8), (16, 18), (10, 19))","(np.float64(0.08516335784242389), np.float64(0.05331209695679954), np.float64(0.11147086247236121))","(np.float64(-115.82342913424822), np.float64(-21.056620813041093), np.float64(-155.27956113628676))"
69,"((1, 18), (8, 13), (8, 15), (13, 15), (2, 18), (4, 18))","(np.float64(0.12471115926936688), np.float64(0.14957727635574278), np.float64(0.11073323595991), np.float64(0.0388561224723668), np.float64(0.11217535345538163), np.float64(0.14111240184684798))","(np.float64(20.771530397815667), np.float64(-78.94505201278658), np.float64(-88.30800347194604), np.float64(-9.362951459159461), np.float64(151.02722016522685), np.float64(101.67731077534361))"
70,"((3, 5), (4, 13))","(np.float64(0.13877174427135036), np.float64(0.02847259980680874))","(np.float64(-114.06305521650111), np.float64(227.3751493368709))"
71,"((3, 16), (11, 18), (13, 14), (11, 16))","(np.float64(0.018435702492416328), np.float64(0.059922135557408676), np.float64(0.14497782671031362), np.float64(0.07396162156757073))","(np.float64(35.20131177560165), np.float64(-233.31421231451185), np.float64(-2.9914410686846225), np.float64(-96.90002128714892))"
72,"((0, 9), (4, 19), (5, 11), (11, 18), (2, 16), (2, 14))","(np.float64(0.11173289615955677), np.float64(0.1321680918972172), np.float64(0.07714941922836656), np.float64(0.14790367284669526), np.float64(0.12900649833411154), np.float64(0.10840416723678127))","(np.float64(137.99958614560796), np.float64(-181.33135494443837), np.float64(265.24562279737916), np.float64(-134.99774528434935), np.float64(-101.64915208478314), np.float64(142.69463377766357))"
73,"((4, 8), (7, 15), (4, 16))","(np.float64(0.05767677327037528), np.float64(0.01705172972158128), np.float64(0.1070373827643165))","(np.float64(-20.207563092384902), np.float64(-34.75867790250405), np.float64(-139.41306316677174))"
74,"((2, 12), (6, 8), (14, 19), (2, 8), (9, 12), (8, 19), (5, 14))","(np.float64(0.0882786308147816), np.float64(0.06676159694749523), np.float64(0.013961047448334837), np.float64(0.07888400634340052), np.float64(0.11014606572185003), np.float64(0.13319845957305165), np.float64(0.14777308996425592))","(np.float64(123.07725031877237), np.float64(-49.14387289501323), np.float64(-57.80528190472657), np.float64(266.4340704600179), np.float64(-171.91443411055042), np.float64(-69.35070093652068), np.float64(-216.05988752155125))"
75,"((1, 14), (2, 18), (11, 16))","(np.float64(0.06359813836987553), np.float64(0.057361175475502936), np.float64(0.06944119737882132))","(np.float64(-188.9270108871596), np.float64(40.595646538562164), np.float64(-174.85246590121477))"
76,"((0, 8), (7, 14), (15, 16), (17, 19), (9, 10), (12, 17), (1, 9), (1, 10))","(np.float64(0.13421024747437543), np.float64(0.06847992605361819), np.float64(0.06987161188037763), np.float64(0.11553054344890058), np.float64(0.006956539379396884), np.float64(0.057366148954859), np.float64(0.14628536289537714), np.float64(0.10671172401938722))","(np.float64(239.73676886665737), np.float64(-302.68001408141924), np.float64(20.59004693460355), np.float64(1.6795499722112481), np.float64(6.556690021077827), np.float64(-8.073333298746519), np.float64(135.88371417714544), np.float64(122.51272310898887))"
77,"((0, 13), (0, 16), (2, 16), (2, 12), (0, 12), (3, 19))","(np.float64(0.13451309005595027), np.float64(0.08846445274162834), np.float64(0.04158115478400705), np.float64(0.12761052132956993), np.float64(0.11450501261747217), np.float64(0.14176952362420717))","(np.float64(106.3456075733611), np.float64(34.022980131447525), np.float64(60.957674681215025), np.float64(86.95626155577247), np.float64(137.73251331764945), np.float64(109.61102613893115))"
78,"((1, 4), (1, 9), (11, 18))","(np.float64(0.012511001168999624), np.float64(0.1400843690751046), np.float64(0.06932062721830214))","(np.float64(-110.0712714536404), np.float64(104.37137237112307), np.float64(-24.393451790135884))"
79,"((2, 8), (3, 7), (10, 18), (13, 15), (6, 13), (9, 15), (7, 9), (5, 9))","(np.float64(0.05822734500543909), np.float64(0.053472614481429454), np.float64(0.03265187887758321), np.float64(0.10780062184832094), np.float64(0.14202661499320615), np.float64(0.11665875638079115), np.float64(0.14960069212026544), np.float64(0.13976206772348693))","(np.float64(101.64278335501655), np.float64(122.7968593814436), np.float64(-137.50589821752823), np.float64(86.87319069842364), np.float64(-220.45028116336167), np.float64(-64.77628996403696), np.float64(-100.02299620141233), np.float64(-54.707806017015386))"
80,"((0, 11),)","(np.float64(0.14945350579586955),)","(np.float64(90.23555286227571),)"
81,"((8, 15), (13, 19), (3, 12), (12, 16))","(np.float64(0.11609351454147639), np.float64(0.06259334284823434), np.float64(0.1319375476596898), np.float64(0.14528507698773424))","(np.float64(-72.53603629585649), np.float64(-95.48908213257492), np.float64(128.015266954915), np.float64(82.71448247410984))"
83,"((0, 15), (3, 12), (4, 7), (0, 13), (1, 14))","(np.float64(0.10758129896817895), np.float64(0.12393844825715332), np.float64(0.13326006584413708), np.float64(0.10619578309242778), np.float64(0.11453993624299696))","(np.float64(86.64788412892696), np.float64(175.91363956837267), np.float64(20.05500433909276), np.float64(211.89128845479405), np.float64(219.2591399969201))"
84,"((1, 5), (4, 18), (15, 19), (4, 6), (6, 18), (1, 17), (3, 15), (11, 19))","(np.float64(0.12031100987701089), np.float64(0.13892938073336383), np.float64(0.07165979177624669), np.float64(0.09814060500401718), np.float64(0.12466694883204103), np.float64(0.10804943088008652), np.float64(0.13715766549806932), np.float64(0.12235046178036084))","(np.float64(-55.13653585475052), np.float64(44.75440220472535), np.float64(-79.08909418036778), np.float64(118.22843364819248), np.float64(235.43929545033842), np.float64(72.61829226541289), np.float64(95.93540661210868), np.float64(90.36642145294508))"
85,"((0, 10), (3, 7), (3, 10))","(np.float64(0.14117544113813124), np.float64(0.14257090408578463), np.float64(0.12648652161168902))","(np.float64(185.7217955723367), np.float64(-150.8958812092175), np.float64(178.9974530276915))"
86,"((7, 9), (7, 14))","(np.float64(0.0744864454968005), np.float64(0.11252629728662962))","(np.float64(-23.758899539122396), np.float64(-69.42894437305857))"
87,"((2, 18), (6, 9), (6, 16))","(np.float64(0.0015743484462327417), np.float64(0.0736316100661253), np.float64(0.13140022171520238))","(np.float64(137.34159892358736), np.float64(222.72644282717255), np.float64(127.52407720221714))"
88,"((2, 15), (6, 13), (8, 17), (13, 14), (16, 19), (0, 9), (4, 15), (4, 16), (18, 19), (4, 9), (4, 18), (9, 12))","(np.float64(0.09601793500043306), np.float64(0.11590822090864453), np.float64(0.12425461729306829), np.float64(0.12810843658228613), np.float64(0.008741910314998033), np.float64(0.1476214528797977), np.float64(0.14912120526326322), np.float64(0.14025443282108488), np.float64(0.145628513208533), np.float64(0.14999474996149623), np.float64(0.1370724240804925), np.float64(0.13581453718384082))","(np.float64(7.992080422113759), np.float64(-45.87158167172878), np.float64(-222.67269737624213), np.float64(51.60166408765161), np.float64(10.399138013079437), np.float64(174.02325463971363), np.float64(65.84413393028578), np.float64(101.65770753406986), np.float64(-214.2054443922088), np.float64(221.3517552223367), np.float64(83.56840234468379), np.float64(-64.8780757610993))"
89,"((2, 19), (3, 10), (5, 13), (5, 18), (9, 14), (13, 18), (8, 12))","(np.float64(0.11070223168199372), np.float64(0.11531141274260868), np.float64(0.14390645647062), np.float64(0.04214242413976918), np.float64(0.10374272792212035), np.float64(0.12402910464627909), np.float64(0.09690939074764568))","(np.float64(63.295599324172116), np.float64(106.19257627213028), np.float64(157.25133088562922), np.float64(29.29628848475417), np.float64(152.00845837296305), np.float64(-58.840309779371196), np.float64(91.3407515706155))"
90,"((8, 14), (8, 15), (14, 15), (1, 7), (4, 9))","(np.float64(0.04839219937535783), np.float64(0.0679384031213928), np.float64(0.04786278714522468), np.float64(0.07528205686426492), np.float64(0.14962785340152995))","(np.float64(-57.30147590966463), np.float64(-15.315922869588121), np.float64(41.98555304007651), np.float64(95.93147136486093), np.float64(-53.862856121010864))"
91,"((4, 5), (3, 5), (3, 19), (5, 19), (5, 16), (18, 19))","(np.float64(0.07662454039011152), np.float64(0.12128928787695228), np.float64(0.1404355300101083), np.float64(0.12076896066237355), np.float64(0.12420675234254609), np.float64(0.1495899471828665))","(np.float64(328.27330537008197), np.float64(39.566441258995894), np.float64(-67.16584555707533), np.float64(-229.4430175501289), np.float64(-83.82856362163821), np.float64(-4.05853921839838))"
92,"((1, 17), (14, 18))","(np.float64(0.14908011367361393), np.float64(0.14588024889577234))","(np.float64(220.6774865710404), np.float64(-188.07940435307592))"
93,"((3, 14), (4, 15), (4, 6))","(np.float64(0.08464857522358667), np.float64(0.08202330166940133), np.float64(0.14089470073808))","(np.float64(107.42527760288681), np.float64(144.98565033408693), np.float64(299.052199580533))"
94,"((6, 17), (12, 13), (8, 14))","(np.float64(0.060203401777173766), np.float64(0.12589806852779128), np.float64(0.1487034867677346))","(np.float64(-105.86121190414296), np.float64(15.736678585601936), np.float64(-24.66141065767539))"
97,"((3, 13), (5, 16), (7, 12), (0, 7), (14, 15))","(np.float64(0.08211853743709469), np.float64(0.13215308240834947), np.float64(0.14176241733286585), np.float64(0.14520546878119903), np.float64(0.1467577558324583))","(np.float64(-66.84319044842746), np.float64(-102.70855888370214), np.float64(-7.744597919800334), np.float64(-54.08579226650045), np.float64(63.2071124612083))"
98,"((2, 13), (5, 17))","(np.float64(0.06970615717255393), np.float64(0.14781789819495356))","(np.float64(12.43560112514885), np.float64(-267.6528929076505))"
99,"((0, 7), (10, 15))","(np.float64(0.10231494010612203), np.float64(0.10645054136080682))","(np.float64(268.74947393348845), np.float64(-87.27531940075971))"
100,"((0, 3), (1, 13), (8, 10), (0, 9), (5, 15))","(np.float64(0.10572388278795193), np.float64(0.13245430208437833), np.float64(0.10023805075253679), np.float64(0.13728360306174883), np.float64(0.12073370132224401))","(np.float64(-26.01767428562235), np.float64(207.67383019638737), np.float64(-14.550406058091482), np.float64(132.12648481458766), np.float64(-115.45040352269817))"
101,"((10, 15), (0, 9), (0, 11))","(np.float64(0.049159682727073904), np.float64(0.1476257718743876), np.float64(0.14771354340709328))","(np.float64(42.565566624074904), np.float64(-78.73710190885069), np.float64(-146.74540071859525))"
102,"((4, 8), (11, 19))","(np.float64(0.08260928485881433), np.float64(0.0728091074741871))","(np.float64(-48.96648620966716), np.float64(-195.6918266185806))"
105,"((0, 18), (4, 10), (10, 19), (0, 11))","(np.float64(0.1025277461498832), np.float64(0.10597405241265466), np.float64(0.12908331883045587), np.float64(0.1450619114849871))","(np.float64(10.00093607490345), np.float64(173.84710358851618), np.float64(-141.96976802121043), np.float64(-185.8419095194496))"
106,"((9, 12), (3, 17))","(np.float64(0.12656698524100599), np.float64(0.14672119529015015))","(np.float64(13.455539399167279), np.float64(9.517521585932656))"
107,"((2, 16), (7, 18), (9, 11))","(np.float64(0.1496924327004279), np.float64(0.06031728346929511), np.float64(0.13062983845150566))","(np.float64(50.31043617434949), np.float64(-220.97679122058048), np.float64(-59.70928215501222))"
108,"((1, 14), (3, 5), (1, 2))","(np.float64(0.03389468180115), np.float64(0.06116221519050039), np.float64(0.13536557999880253))","(np.float64(192.16432363298946), np.float64(-40.945984044412285), np.float64(75.22362806219587))"
