episode,los_id,los_dist,los_qdr
3847,"((0, 6),)","(np.float64(0.14824144438793746),)","(np.float64(218.7418552704001),)"
3848,"((3, 8), (6, 15), (11, 19), (1, 7))","(np.float64(0.0949387474505067), np.float64(0.0698402048900623), np.float64(0.12836273472996942), np.float64(0.13685762346108532))","(np.float64(188.6700638109525), np.float64(-107.94750126149825), np.float64(-139.93371390885483), np.float64(186.27730230312926))"
3850,"((9, 13),)","(np.float64(0.11851551304985981),)","(np.float64(302.37702027678574),)"
3852,"((12, 15),)","(np.float64(0.12692576859910362),)","(np.float64(-184.78823440429704),)"
3855,"((7, 16),)","(np.float64(0.1037783976466866),)","(np.float64(-166.62008359808206),)"
3857,"((7, 14),)","(np.float64(0.11886534516112056),)","(np.float64(164.0450406815625),)"
3858,"((5, 6),)","(np.float64(0.1329499543300233),)","(np.float64(-47.215306005903926),)"
3859,"((1, 6), (4, 13), (15, 18))","(np.float64(0.019470296874219827), np.float64(0.14225780831981782), np.float64(0.11967472585439912))","(np.float64(152.8177675336542), np.float64(266.9069644046173), np.float64(-76.03964459104765))"
3860,"((0, 8), (6, 15))","(np.float64(0.05487180248553956), np.float64(0.13658803096019062))","(np.float64(152.28990406797755), np.float64(142.31307203022624))"
3861,"((12, 16),)","(np.float64(0.14166594414595568),)","(np.float64(-180.56222830095635),)"
3862,"((5, 19), (9, 18))","(np.float64(0.08877670415321935), np.float64(0.13603697806620543))","(np.float64(-210.55404524486244), np.float64(203.64146953386978))"
3863,"((6, 9), (6, 19), (9, 19))","(np.float64(0.08666118572156677), np.float64(0.07183501083020462), np.float64(0.03900371318926841))","(np.float64(-64.5887060192411), np.float64(105.47063674197727), np.float64(170.05934276121837))"
3864,"((0, 10),)","(np.float64(0.10044044884109746),)","(np.float64(166.4635252981179),)"
3865,"((13, 15),)","(np.float64(0.11023907419613867),)","(np.float64(22.40869475867379),)"
3866,"((10, 14),)","(np.float64(0.10623106134697438),)","(np.float64(-116.51894903416519),)"
3867,"((1, 6),)","(np.float64(0.06329380031440673),)","(np.float64(213.24440681848742),)"
