episode,los_id,los_dist,los_qdr
2485,"((0, 14), (6, 11), (13, 19), (9, 17))","(np.float64(0.04648787800615851), np.float64(0.0915466348864121), np.float64(0.09971881255170335), np.float64(0.010556196247307508))","(np.float64(142.31792736481196), np.float64(145.7893645895077), np.float64(47.37802730243289), np.float64(179.9391781974964))"
2486,"((10, 19), (2, 4))","(np.float64(0.09091652047326099), np.float64(0.14885082804792846))","(np.float64(94.69271404307347), np.float64(145.2233991422316))"
2487,"((0, 5),)","(np.float64(0.1442147799676855),)","(np.float64(148.92056337814816),)"
2488,"((9, 17), (10, 14), (10, 17), (2, 17), (14, 17), (3, 9))","(np.float64(0.12409916143093691), np.float64(0.052035225693413414), np.float64(0.08864922831033867), np.float64(0.10834208520925315), np.float64(0.14586077542779888), np.float64(0.14914885048625234))","(np.float64(229.73582711247235), np.float64(155.14558729293316), np.float64(52.81853259019648), np.float64(158.75336241525784), np.float64(323.99804275331894), np.float64(67.65697198060163))"
2489,"((2, 3), (4, 9), (5, 14), (5, 18), (7, 16), (5, 19))","(np.float64(0.14573982947008107), np.float64(0.013650775460948802), np.float64(0.032277610457925335), np.float64(0.12313335048500115), np.float64(0.12257206837400822), np.float64(0.14179666161069496))","(np.float64(19.948120301682525), np.float64(24.764131767940693), np.float64(37.5438756293836), np.float64(215.557309996563), np.float64(295.66855435454505), np.float64(311.648745673208))"
2490,"((1, 10), (5, 18), (14, 18))","(np.float64(0.12147944803938586), np.float64(0.0813268257505566), np.float64(0.13142031283176744))","(np.float64(48.99449360286155), np.float64(16.382578271265317), np.float64(234.86186804358255))"
2492,"((14, 17),)","(np.float64(0.07129248920502648),)","(np.float64(10.622836292388397),)"
2493,"((2, 11),)","(np.float64(0.13484181184628963),)","(np.float64(281.0315147744769),)"
2494,"((6, 9), (17, 18), (1, 17), (7, 14), (1, 10), (8, 10))","(np.float64(0.12385129489453113), np.float64(0.05873592086037402), np.float64(0.019311048839711405), np.float64(0.14511891510461913), np.float64(0.00801365714016551), np.float64(0.1392724564637821))","(np.float64(202.87559968872245), np.float64(272.59647805489453), np.float64(27.49235427580985), np.float64(104.23724882780745), np.float64(198.12962834358663), np.float64(349.71933469219533))"
2496,"((0, 15), (5, 16), (6, 9), (10, 15), (4, 17))","(np.float64(0.10232615998406204), np.float64(0.03385859453685543), np.float64(0.09058663021151), np.float64(0.11320113548722102), np.float64(0.14531528155989912))","(np.float64(330.3350867473983), np.float64(104.87594241798523), np.float64(307.21119166869386), np.float64(101.56810335235161), np.float64(199.21954716354347))"
2497,"((4, 7), (10, 17), (14, 18), (13, 14), (12, 13), (8, 15))","(np.float64(0.09919490060351309), np.float64(0.13558979430674853), np.float64(0.04528428761053612), np.float64(0.12178260622158966), np.float64(0.14399233412741613), np.float64(0.1296962623126564))","(np.float64(193.22330971869627), np.float64(56.69620410960005), np.float64(359.6995518260689), np.float64(58.88827019967313), np.float64(131.4319186549643), np.float64(294.21652462143015))"
2498,"((6, 9), (11, 14), (12, 17))","(np.float64(0.034290635217082144), np.float64(0.06988970178569401), np.float64(0.0639387159685966))","(np.float64(50.444337370901216), np.float64(293.50760618199445), np.float64(15.974308886841852))"
2499,"((6, 10),)","(np.float64(0.061841139973496766),)","(np.float64(94.01709322703506),)"
2501,"((3, 17), (12, 14))","(np.float64(0.10395313503195693), np.float64(0.147247847119525))","(np.float64(85.4870288770001), np.float64(339.828511669467))"
2502,"((1, 2), (2, 14), (11, 16), (17, 18))","(np.float64(0.13898592699333803), np.float64(0.09823516464670504), np.float64(0.11494765939349005), np.float64(0.12396965821137647))","(np.float64(307.64828108360297), np.float64(21.193161155831813), np.float64(103.68976021843619), np.float64(325.42598888055))"
2503,"((1, 18), (8, 14), (11, 17), (9, 19))","(np.float64(0.06319969068796982), np.float64(0.11691295591434803), np.float64(0.12460105587932302), np.float64(0.13867580183401085))","(np.float64(316.36489915935846), np.float64(346.69536012997474), np.float64(67.4615979951116), np.float64(82.15943778507784))"
2504,"((3, 11), (4, 18), (6, 16), (8, 19))","(np.float64(0.135290547913307), np.float64(0.06678809360432385), np.float64(0.13652249486189738), np.float64(0.08738881003858236))","(np.float64(302.8378179497843), np.float64(47.70760007751956), np.float64(204.8305312344649), np.float64(284.9680387311088))"
2505,"((4, 12), (5, 7))","(np.float64(0.12288986600771414), np.float64(0.14962152038704374))","(np.float64(167.40688378771017), np.float64(220.17668265477573))"
2506,"((0, 4), (5, 9), (10, 13), (6, 9), (6, 14), (5, 19), (9, 19), (9, 15))","(np.float64(0.1136409158916187), np.float64(0.05600771097651465), np.float64(0.08482102626691122), np.float64(0.11225639437289593), np.float64(0.135858636152162), np.float64(0.12841810202182097), np.float64(0.13080459046512438), np.float64(0.07748918093268058))","(np.float64(129.6062930951835), np.float64(271.9569178221322), np.float64(58.38928023152796), np.float64(162.79962167515234), np.float64(283.0503341579039), np.float64(326.333622412596), np.float64(18.245230131603503), np.float64(21.01600515539479))"
2508,"((6, 8), (1, 6))","(np.float64(0.14067299254698712), np.float64(0.14057941547364672))","(np.float64(102.06800350406499), np.float64(298.41566662047677))"
2509,"((2, 7), (2, 14), (14, 16), (7, 16), (11, 14))","(np.float64(0.13514425204336758), np.float64(0.09450291090850822), np.float64(0.13456395355952472), np.float64(0.13937313504272963), np.float64(0.145024471099071))","(np.float64(25.62310342754096), np.float64(294.498031234622), np.float64(7.678652432239256), np.float64(228.9772642003255), np.float64(348.4099865955))"
2510,"((2, 6), (3, 18), (7, 17), (11, 12), (13, 19), (7, 12))","(np.float64(0.10096890133198028), np.float64(0.14289015665693028), np.float64(0.13469357127051046), np.float64(0.11295274410504316), np.float64(0.11677982087571512), np.float64(0.14802363153934284))","(np.float64(171.50886748179346), np.float64(347.6034661408188), np.float64(59.20699108820117), np.float64(275.61579417579304), np.float64(32.44386287115717), np.float64(359.5302786467734))"
2511,"((0, 10), (4, 13), (8, 19))","(np.float64(0.03301990317712224), np.float64(0.059990444094806895), np.float64(0.10954584389531938))","(np.float64(44.748709037466), np.float64(298.2767912709377), np.float64(321.86400446053284))"
2512,"((7, 15), (1, 9), (5, 19), (2, 9))","(np.float64(0.14273657379481752), np.float64(0.03184562579280421), np.float64(0.1478993683313329), np.float64(0.04745535069643054))","(np.float64(268.18342726059814), np.float64(100.16921096531328), np.float64(253.86228190703196), np.float64(273.95876813326305))"
2513,"((2, 5), (14, 15), (2, 15), (12, 14), (12, 15))","(np.float64(0.0914290102802025), np.float64(0.06350950048084109), np.float64(0.13767532063449128), np.float64(0.10716869930137896), np.float64(0.14882907978451598))","(np.float64(239.03640397259136), np.float64(113.54773341918374), np.float64(8.345593121700247), np.float64(229.83083060163062), np.float64(194.8147287535171))"
2514,"((2, 17), (3, 5), (4, 12), (10, 14), (2, 11), (5, 18), (1, 5))","(np.float64(0.04556390562376035), np.float64(0.04696843077199163), np.float64(0.12198806039435411), np.float64(0.10192489305585493), np.float64(0.14598438360908708), np.float64(0.12982072765716862), np.float64(0.14628355783590577))","(np.float64(112.48669219763885), np.float64(261.2960553653791), np.float64(87.20709448491333), np.float64(89.56802571606174), np.float64(241.07170212435605), np.float64(57.95339334655203), np.float64(273.22733749281906))"
2515,"((1, 13), (2, 18), (10, 15))","(np.float64(0.09254993741581206), np.float64(0.1031217446150135), np.float64(0.1339704536098106))","(np.float64(200.84239750718322), np.float64(306.1227721482835), np.float64(131.4753154131973))"
2516,"((2, 17),)","(np.float64(0.1236904331879278),)","(np.float64(36.660937764056925),)"
2517,"((14, 19), (15, 19), (7, 15), (8, 15))","(np.float64(0.1359143495844961), np.float64(0.07567938322344372), np.float64(0.1354678548413915), np.float64(0.09209954480219618))","(np.float64(56.52856467163369), np.float64(165.27069377115672), np.float64(194.26713951435556), np.float64(264.77357206330885))"
2518,"((12, 15), (7, 18))","(np.float64(0.13469319055086143), np.float64(0.13870840622952915))","(np.float64(54.630006837369635), np.float64(338.0882053107587))"
2519,"((1, 7), (10, 11), (17, 19), (5, 14), (2, 14))","(np.float64(0.1265292136090111), np.float64(0.1039982851088657), np.float64(0.01187637662341925), np.float64(0.11738886302260697), np.float64(0.13638450786740217))","(np.float64(342.15490931505406), np.float64(224.29171685693947), np.float64(26.869183176272628), np.float64(279.57872792935336), np.float64(241.87027397073422))"
2520,"((3, 14), (16, 18))","(np.float64(0.09601172191880673), np.float64(0.14777422275373334))","(np.float64(77.07839847868796), np.float64(122.49008537599332))"
2521,"((2, 12), (2, 13), (12, 13))","(np.float64(0.10294997343485478), np.float64(0.10478207807028868), np.float64(0.01620609760896558))","(np.float64(114.45627824457291), np.float64(123.34796249283544), np.float64(202.43151838076417))"
2522,"((3, 16), (13, 17), (13, 18), (17, 18), (7, 10))","(np.float64(0.13548515055957427), np.float64(0.1490667378160234), np.float64(0.08639168051022189), np.float64(0.11398445530883868), np.float64(0.14801057085876362))","(np.float64(236.95787976728485), np.float64(15.907058513323413), np.float64(322.76358499506836), np.float64(242.82382477076806), np.float64(8.298324008981067))"
2523,"((1, 19), (5, 13), (2, 5), (2, 13))","(np.float64(0.08884990557579647), np.float64(0.036286091873054996), np.float64(0.1390848608506871), np.float64(0.12201238766983205))","(np.float64(108.8465163307538), np.float64(214.47388521622764), np.float64(126.9308305489868), np.float64(282.59298075549356))"
2524,"((2, 10), (10, 14), (2, 14))","(np.float64(0.034796173085378676), np.float64(0.027034880700853824), np.float64(0.08422629570108899))","(np.float64(63.55417452924899), np.float64(316.65271409767564), np.float64(113.04227669509545))"
2525,"((8, 13), (8, 14), (8, 16))","(np.float64(0.1183549369327464), np.float64(0.1407766413191695), np.float64(0.14754523057520091))","(np.float64(156.10079726487058), np.float64(336.6821966350906), np.float64(138.97152596719508))"
2526,"((3, 9), (6, 13), (6, 18), (0, 9), (3, 19))","(np.float64(0.1495247330619151), np.float64(0.1278943861271377), np.float64(0.08976382243582426), np.float64(0.14536239708376517), np.float64(0.09570395816393526))","(np.float64(174.37448536529735), np.float64(282.74982995190965), np.float64(188.45948111656517), np.float64(280.6791509101149), np.float64(330.1980101376219))"
2527,"((5, 18), (14, 17), (12, 17))","(np.float64(0.083212516895003), np.float64(0.13432337396018737), np.float64(0.14735072128239038))","(np.float64(16.229520023390478), np.float64(134.76244324000857), np.float64(320.53851343315057))"
