episode,los_id,los_dist,los_qdr
81,"((3, 4), (10, 17), (8, 13), (4, 13), (11, 18))","(np.float64(0.1285396518200944), np.float64(0.147472858815767), np.float64(0.14987689970994025), np.float64(0.009256495245901643), np.float64(0.13336288117740303))","(np.float64(141.94527340115974), np.float64(51.10673495926432), np.float64(356.72585127061785), np.float64(79.95914448648674), np.float64(59.544661611292106))"
82,"((3, 8), (8, 15))","(np.float64(0.11605707512458288), np.float64(0.1277367360049701))","(np.float64(317.2951603872622), np.float64(335.3723833690691))"
83,"((3, 5),)","(np.float64(0.09282085107401575),)","(np.float64(342.8508887224724),)"
84,"((2, 14), (0, 8), (2, 4))","(np.float64(0.03853439977197286), np.float64(0.1163777373301757), np.float64(0.14508644543732502))","(np.float64(275.1353596816866), np.float64(266.76427357869034), np.float64(252.377378248521))"
87,"((0, 14), (1, 7), (2, 7), (4, 5), (12, 19), (13, 17))","(np.float64(0.11214043166110477), np.float64(0.10841698729227367), np.float64(0.13042330813135652), np.float64(0.14519866785015298), np.float64(0.018943518141851474), np.float64(0.14693459386487487))","(np.float64(25.107764909024613), np.float64(327.61955432114144), np.float64(108.48435351246255), np.float64(22.5882813989531), np.float64(358.33175604535154), np.float64(131.4087659251258))"
88,"((0, 5), (4, 6), (12, 14), (12, 18))","(np.float64(0.11382354898700549), np.float64(0.08473320099920675), np.float64(0.14612041547814222), np.float64(0.13015271276568516))","(np.float64(264.8933632167092), np.float64(292.26250942414674), np.float64(55.85585278783207), np.float64(58.0386051769715))"
89,"((4, 10), (7, 10), (2, 15))","(np.float64(0.13802498676563396), np.float64(0.09388816656105312), np.float64(0.14043198921733782))","(np.float64(158.41461929469475), np.float64(230.99374176608836), np.float64(346.00207549531814))"
90,"((9, 18),)","(np.float64(0.08626661399027506),)","(np.float64(106.66008211217296),)"
91,"((0, 13), (10, 18), (13, 14))","(np.float64(0.14032694649155783), np.float64(0.1325653948703144), np.float64(0.13416835063796784))","(np.float64(145.13501304894308), np.float64(2.5805818436702608), np.float64(213.13625493640103))"
93,"((0, 13), (4, 10), (0, 3))","(np.float64(0.11793170760506623), np.float64(0.11501592954404798), np.float64(0.14622562881327064))","(np.float64(260.5469383985063), np.float64(52.537354649214265), np.float64(273.6523685861662))"
97,"((11, 19),)","(np.float64(0.11035056905437396),)","(np.float64(103.72086567815005),)"
98,"((2, 17),)","(np.float64(0.1288271588178935),)","(np.float64(108.16369431638418),)"
99,"((2, 12),)","(np.float64(0.1216248152084653),)","(np.float64(105.06529781450543),)"
100,"((0, 3), (10, 17), (10, 19), (17, 19))","(np.float64(0.03246222499302199), np.float64(0.0929984839469558), np.float64(0.10639177366300852), np.float64(0.0447994854672803))","(np.float64(13.768365172909542), np.float64(224.5679412728383), np.float64(249.38595803089362), np.float64(309.9997530596229))"
102,"((4, 18), (8, 18), (6, 15))","(np.float64(0.09977932501583388), np.float64(0.13774222775852868), np.float64(0.1409170657592484))","(np.float64(322.72454527173556), np.float64(148.26935738331036), np.float64(349.5588455710799))"
103,"((5, 14), (13, 19), (5, 19))","(np.float64(0.0756953538520006), np.float64(0.14183644543655216), np.float64(0.11958659312094144))","(np.float64(205.03476225111058), np.float64(108.8811236716891), np.float64(64.28322031930738))"
104,"((7, 11), (10, 16))","(np.float64(0.14780671361045744), np.float64(0.1454951340828488))","(np.float64(71.53279954407624), np.float64(305.4074118038245))"
105,"((1, 4), (1, 8), (2, 6), (3, 5), (0, 14))","(np.float64(0.14475300693637294), np.float64(0.062200906450491825), np.float64(0.10537629730771707), np.float64(0.14426901314296514), np.float64(0.14058104306116587))","(np.float64(287.52443509389735), np.float64(54.05799329025522), np.float64(130.36964271086381), np.float64(115.37641390303045), np.float64(223.10044809985556))"
106,"((6, 19), (9, 10), (0, 9))","(np.float64(0.07380972410485), np.float64(0.05825837372776081), np.float64(0.1473309272871069))","(np.float64(122.33869244688891), np.float64(48.26699768854333), np.float64(228.34056788963275))"
107,"((1, 13), (7, 12), (6, 15), (6, 17))","(np.float64(0.12610229716449387), np.float64(0.13272617678427157), np.float64(0.10223783304580573), np.float64(0.14194113257947902))","(np.float64(342.0259990304159), np.float64(41.48871696725648), np.float64(272.8512119885282), np.float64(313.3033846563992))"
108,"((3, 15), (15, 17))","(np.float64(0.1311259140134403), np.float64(0.14901695252103814))","(np.float64(281.94177695731224), np.float64(73.63833709988305))"
109,"((5, 8),)","(np.float64(0.06733900050378035),)","(np.float64(219.33371444499062),)"
110,"((2, 10), (3, 17), (7, 15), (0, 3))","(np.float64(0.09734170625065752), np.float64(0.09298488419797724), np.float64(0.14742374490563373), np.float64(0.11033292276688181))","(np.float64(61.37431164191067), np.float64(299.2658627838377), np.float64(10.582663875454811), np.float64(169.94845142779266))"
111,"((12, 13),)","(np.float64(0.1427903056270817),)","(np.float64(295.06412656558473),)"
112,"((0, 5), (13, 14), (9, 13))","(np.float64(0.08434206553143568), np.float64(0.07315228859973266), np.float64(0.12901535093109562))","(np.float64(47.84984131368797), np.float64(87.677575762119), np.float64(101.64771960668666))"
113,"((10, 19),)","(np.float64(0.1465735867693165),)","(np.float64(84.61199121299055),)"
114,"((10, 19), (0, 10))","(np.float64(0.010114669781523622), np.float64(0.08149206257099359))","(np.float64(356.08447391014846), np.float64(235.43629954299968))"
115,"((5, 18),)","(np.float64(0.14898271205459748),)","(np.float64(24.20335405662408),)"
116,"((1, 14), (6, 8))","(np.float64(0.09319259642392856), np.float64(0.025753870126291833))","(np.float64(302.8960504400776), np.float64(83.67758148091669))"
117,"((7, 14), (8, 14))","(np.float64(0.13239007882460935), np.float64(0.11360879634180367))","(np.float64(84.25746076729865), np.float64(331.56174294876706))"
118,"((0, 7), (5, 10))","(np.float64(0.1438653795795327), np.float64(0.11909070957408942))","(np.float64(280.20838246653756), np.float64(311.84173238751214))"
119,"((0, 6), (3, 11), (7, 15), (7, 12))","(np.float64(0.11023358048786795), np.float64(0.1283250243103891), np.float64(0.10330336860341387), np.float64(0.08809388223155762))","(np.float64(312.14288189225584), np.float64(133.49523063014513), np.float64(350.2640416954825), np.float64(323.7191514140299))"
120,"((4, 19), (6, 13))","(np.float64(0.02864726796869804), np.float64(0.058354274663481025))","(np.float64(86.37279351959613), np.float64(189.1558374211734))"
121,"((2, 15), (7, 8))","(np.float64(0.06991061278169909), np.float64(0.14945845019429743))","(np.float64(86.83437692309617), np.float64(271.8885221076287))"
122,"((13, 19),)","(np.float64(0.09562877389287493),)","(np.float64(294.65559179413964),)"
123,"((1, 19), (2, 9), (11, 18))","(np.float64(0.13134650451234772), np.float64(0.10959299379311588), np.float64(0.10838948748322012))","(np.float64(208.9599870982393), np.float64(211.45648907811056), np.float64(47.84233790189501))"
125,"((0, 9),)","(np.float64(0.10569497410698597),)","(np.float64(7.916703051569085),)"
126,"((3, 10), (14, 18))","(np.float64(0.08474290751255206), np.float64(0.10789813267436149))","(np.float64(5.539337957038219), np.float64(128.73265623334407))"
127,"((8, 12),)","(np.float64(0.05212727881157194),)","(np.float64(119.99727175359646),)"
128,"((0, 14), (4, 10))","(np.float64(0.09272688676155845), np.float64(0.10803189482825588))","(np.float64(4.114179776887076), np.float64(278.0989424746989))"
130,"((5, 16), (9, 12), (9, 19), (11, 15), (12, 19), (16, 19))","(np.float64(0.12135007746665574), np.float64(0.0682888423288039), np.float64(0.06723592564885546), np.float64(0.11019208123337257), np.float64(0.13331408442274992), np.float64(0.14493309977807114))","(np.float64(213.41470882138344), np.float64(72.95847303156147), np.float64(295.366768627653), np.float64(106.57007123374284), np.float64(302.25240485535613), np.float64(55.380883804414204))"
131,"((7, 13),)","(np.float64(0.039654603828499654),)","(np.float64(128.69647593079335),)"
132,"((8, 19),)","(np.float64(0.1473570060807086),)","(np.float64(146.93073267920386),)"
134,"((8, 17), (10, 15))","(np.float64(0.10041374891530193), np.float64(0.14525105307443872))","(np.float64(236.32858908788643), np.float64(284.18877222864774))"
135,"((1, 6), (5, 11), (9, 13), (10, 19), (9, 18))","(np.float64(0.1337677491922263), np.float64(0.12194856290853663), np.float64(0.1011488613280834), np.float64(0.10732297125284843), np.float64(0.1457834673459594))","(np.float64(108.81026912933987), np.float64(47.48079817176825), np.float64(229.41230573245176), np.float64(53.89270370480633), np.float64(112.94794351568066))"
136,"((14, 15),)","(np.float64(0.1268404572684137),)","(np.float64(97.12660049602624),)"
137,"((12, 17),)","(np.float64(0.12461469675912806),)","(np.float64(22.7252739527134),)"
138,"((6, 16), (5, 13))","(np.float64(0.14864676368480004), np.float64(0.1478377316514968))","(np.float64(338.7717412328024), np.float64(267.2863092730038))"
139,"((12, 16),)","(np.float64(0.1132406530591724),)","(np.float64(330.20525962339025),)"
141,"((11, 12),)","(np.float64(0.11085207070861942),)","(np.float64(158.43395930854143),)"
143,"((2, 13), (11, 16))","(np.float64(0.126177683724167), np.float64(0.14695737218458899))","(np.float64(40.88555985194509), np.float64(278.31482594050215))"
144,"((15, 19), (7, 18), (3, 7))","(np.float64(0.1268042588611753), np.float64(0.12100403779624667), np.float64(0.12153184693949837))","(np.float64(37.04809512698526), np.float64(300.3599716921861), np.float64(235.9652372703675))"
145,"((0, 15), (5, 12), (10, 12))","(np.float64(0.04984278345096843), np.float64(0.14627408251322552), np.float64(0.148470223326418))","(np.float64(311.8773321222064), np.float64(34.307667675265954), np.float64(127.31053495723887))"
148,"((1, 11),)","(np.float64(0.04024601495501184),)","(np.float64(326.2745934471181),)"
149,"((2, 8),)","(np.float64(0.14610661754853607),)","(np.float64(79.53365426676513),)"
150,"((2, 9),)","(np.float64(0.14263814431612942),)","(np.float64(331.61284856090606),)"
152,"((4, 18), (5, 13), (6, 18), (4, 14))","(np.float64(0.13977091663877383), np.float64(0.12307308734372568), np.float64(0.11617982584548747), np.float64(0.14355576919301727))","(np.float64(195.5610171353621), np.float64(281.4324668811315), np.float64(339.7821938518565), np.float64(203.79330016564126))"
153,"((2, 11), (5, 15), (12, 19))","(np.float64(0.13809095686092032), np.float64(0.07942201621575715), np.float64(0.01392495754127903))","(np.float64(215.36777431071064), np.float64(152.32707535016263), np.float64(90.21323829812668))"
154,"((12, 17),)","(np.float64(0.13756089685255243),)","(np.float64(333.2692864533038),)"
155,"((0, 1), (7, 19))","(np.float64(0.0844473492669162), np.float64(0.11838458614118957))","(np.float64(161.70664408050507), np.float64(76.73687510926162))"
156,"((10, 15), (13, 14))","(np.float64(0.14974526855280254), np.float64(0.12302067300983181))","(np.float64(241.01358397204226), np.float64(97.40152556955952))"
157,"((9, 15), (2, 7))","(np.float64(0.10719575810417954), np.float64(0.13974936322751183))","(np.float64(316.2043334090785), np.float64(189.81234781522318))"
158,"((1, 5), (15, 16))","(np.float64(0.11140531797345661), np.float64(0.12776153541170845))","(np.float64(317.6298127452955), np.float64(78.76934199415501))"
159,"((3, 10), (5, 10))","(np.float64(0.12233682610611367), np.float64(0.031459920943246476))","(np.float64(160.92242905886917), np.float64(242.48047932490653))"
160,"((7, 12), (7, 18), (12, 18), (11, 15), (10, 19))","(np.float64(0.016549875769035036), np.float64(0.10283607912423269), np.float64(0.11933331881200941), np.float64(0.14646784858724732), np.float64(0.14561513746230784))","(np.float64(328.38509448418586), np.float64(153.31028850458978), np.float64(152.6280455307861), np.float64(16.670086961876333), np.float64(43.84533825744034))"
161,"((15, 16),)","(np.float64(0.12974809579651056),)","(np.float64(182.2980841731484),)"
162,"((1, 2), (12, 13), (13, 14))","(np.float64(0.04673696656635444), np.float64(0.11078920427611108), np.float64(0.10252457027233983))","(np.float64(220.10159205519255), np.float64(298.2496115047071), np.float64(246.13006275510259))"
163,"((12, 13), (16, 19), (0, 8))","(np.float64(0.13145461047708273), np.float64(0.05067629925971561), np.float64(0.14851857558521872))","(np.float64(105.84321848390412), np.float64(57.98987501391419), np.float64(248.54313570376286))"
164,"((4, 15), (3, 16), (0, 10))","(np.float64(0.03745463799855797), np.float64(0.14785941791026558), np.float64(0.14372277868993594))","(np.float64(177.7509828713654), np.float64(11.753945686861146), np.float64(316.8719547543179))"
165,"((1, 14),)","(np.float64(0.13876613250890563),)","(np.float64(79.83902519843535),)"
166,"((11, 14), (8, 16))","(np.float64(0.09914375544449129), np.float64(0.13212303792962668))","(np.float64(239.12785718471508), np.float64(150.21952830938199))"
167,"((12, 17), (11, 18))","(np.float64(0.11825194407649034), np.float64(0.14888488349669113))","(np.float64(195.91780137574983), np.float64(49.571312018080135))"
168,"((2, 18),)","(np.float64(0.07983882304669583),)","(np.float64(231.66713866446847),)"
