episode,los_id,los_dist,los_qdr
39,"((4, 15), (3, 9))","(np.float64(0.1271195010294649), np.float64(0.028449816232028517))","(np.float64(104.221771294937), np.float64(324.42238583878446))"
40,"((6, 13), (10, 11), (8, 17), (7, 19), (7, 10))","(np.float64(0.019433379676285112), np.float64(0.09721644923596541), np.float64(0.1374983090463033), np.float64(0.12899991692771146), np.float64(0.13764519353015672))","(np.float64(177.7383416275989), np.float64(21.636227028139107), np.float64(119.48241935851141), np.float64(68.2031257635482), np.float64(323.9394158277166))"
41,"((10, 18), (10, 15), (10, 17), (6, 8), (12, 16), (0, 9))","(np.float64(0.09996045866506549), np.float64(0.11804113416989359), np.float64(0.14704857890397507), np.float64(0.141581144821636), np.float64(0.1298677399726469), np.float64(0.13992421450533898))","(np.float64(136.5991429645796), np.float64(351.2240474106627), np.float64(88.46095391276921), np.float64(269.29776303881613), np.float64(54.81913108546825), np.float64(170.62550009870128))"
42,"((0, 1), (4, 9), (1, 12), (2, 11))","(np.float64(0.11273122581305307), np.float64(0.1439848780605229), np.float64(0.11319494331341409), np.float64(0.1437592714152931))","(np.float64(117.97272248611404), np.float64(329.3119218215891), np.float64(216.19955043238375), np.float64(337.252978866179))"
43,"((8, 14),)","(np.float64(0.0670270565684507),)","(np.float64(134.6677528032691),)"
44,"((2, 11), (6, 7))","(np.float64(0.13393990070361572), np.float64(0.14616118439512077))","(np.float64(287.0435844588496), np.float64(210.85282002662206))"
45,"((6, 9), (5, 18), (3, 6))","(np.float64(0.1240739752619506), np.float64(0.12314058659907429), np.float64(0.13807956559893378))","(np.float64(287.771720025679), np.float64(15.203432614116489), np.float64(332.2041020174038))"
46,"((4, 16),)","(np.float64(0.13931667273226037),)","(np.float64(38.83096971746212),)"
47,"((4, 12),)","(np.float64(0.13812052161746954),)","(np.float64(322.63275584001815),)"
49,"((1, 13), (9, 19))","(np.float64(0.12879629262085718), np.float64(0.14511651632001035))","(np.float64(230.90621205997917), np.float64(314.90861060506694))"
50,"((3, 14), (11, 18))","(np.float64(0.14522476848688534), np.float64(0.14207509460353415))","(np.float64(218.93895203070213), np.float64(60.66338092494609))"
51,"((0, 13), (5, 7), (5, 12))","(np.float64(0.10885021844877381), np.float64(0.14750343742496835), np.float64(0.10150545754172006))","(np.float64(127.35825666536107), np.float64(110.50904976480284), np.float64(7.083992295926977))"
52,"((5, 14),)","(np.float64(0.13722154550551216),)","(np.float64(331.2370182381923),)"
53,"((1, 8), (7, 17), (11, 16))","(np.float64(0.01591999582696467), np.float64(0.11978887685222654), np.float64(0.13201456268735515))","(np.float64(23.89160650345629), np.float64(209.53033098387388), np.float64(310.96726525820014))"
54,"((1, 10),)","(np.float64(0.11777930087245149),)","(np.float64(252.3278805465887),)"
55,"((10, 19), (6, 15))","(np.float64(0.09493436622621715), np.float64(0.14177610539598712))","(np.float64(268.87300365544183), np.float64(300.1746599166677))"
56,"((3, 11), (4, 5), (3, 12))","(np.float64(0.1299661296289478), np.float64(0.11161264393994053), np.float64(0.11262375827057362))","(np.float64(357.27776382191263), np.float64(102.59182843853134), np.float64(310.30052436139783))"
57,"((14, 16), (0, 13), (7, 17))","(np.float64(0.12076872940969953), np.float64(0.11528313021560051), np.float64(0.1496108666220006))","(np.float64(98.24404630524913), np.float64(327.57909366225005), np.float64(354.1691599557058))"
58,"((1, 12),)","(np.float64(0.11983075338882544),)","(np.float64(80.54144535580248),)"
60,"((1, 5),)","(np.float64(0.0848938755637659),)","(np.float64(304.3447570798182),)"
61,"((8, 14),)","(np.float64(0.07976349707221096),)","(np.float64(286.159736699381),)"
63,"((7, 11), (5, 17), (6, 11))","(np.float64(0.10906725363442617), np.float64(0.12003087543743327), np.float64(0.132890184508591))","(np.float64(154.40578498848484), np.float64(245.74377512538757), np.float64(222.63671996807219))"
64,"((3, 17), (6, 7), (1, 6), (9, 18))","(np.float64(0.10341898982519453), np.float64(0.09876810169120664), np.float64(0.1321786997417655), np.float64(0.1362542939872862))","(np.float64(302.37056916203613), np.float64(282.30625696720574), np.float64(231.33770579640878), np.float64(155.58355787960784))"
65,"((2, 19),)","(np.float64(0.07454690025843365),)","(np.float64(188.8939311051867),)"
66,"((3, 11), (11, 18), (12, 16))","(np.float64(0.14204986275856224), np.float64(0.14386157700610855), np.float64(0.14234962255151923))","(np.float64(278.6484249739709), np.float64(182.12703589936896), np.float64(126.9095733924791))"
67,"((0, 15), (7, 13), (9, 18), (11, 18), (2, 12), (1, 11))","(np.float64(0.002551559203483728), np.float64(0.09773777095464668), np.float64(0.12926436111912237), np.float64(0.14760006146970178), np.float64(0.13555617177585075), np.float64(0.1413976061469467))","(np.float64(326.29710089356513), np.float64(61.669590279421605), np.float64(217.77393707443107), np.float64(71.37611138522075), np.float64(229.54833799616887), np.float64(306.12172567167386))"
68,"((9, 19), (10, 15), (13, 19), (16, 18), (6, 19), (4, 9))","(np.float64(0.09504355341014395), np.float64(0.08119228612284), np.float64(0.13347209803349477), np.float64(0.06635224115287858), np.float64(0.14773662029558376), np.float64(0.12940513590261593))","(np.float64(281.2963660132953), np.float64(350.04433442200605), np.float64(19.552232277574774), np.float64(5.628608964815454), np.float64(358.340621163888), np.float64(345.4738497228699))"
69,"((3, 6), (3, 13), (6, 13), (1, 17), (2, 16))","(np.float64(0.09653795715633719), np.float64(0.032442118351475806), np.float64(0.09149538557086379), np.float64(0.14600854457420073), np.float64(0.13914024402895916))","(np.float64(4.9340875407058835), np.float64(293.56039866095875), np.float64(204.56735362999814), np.float64(281.51212805750646), np.float64(315.3222183912376))"
70,"((2, 14), (7, 13))","(np.float64(0.11302161837766284), np.float64(0.12343838973750296))","(np.float64(143.54966527505488), np.float64(204.51740524211775))"
71,"((0, 10),)","(np.float64(0.0662941557651178),)","(np.float64(278.6568668455666),)"
73,"((4, 15), (5, 18), (2, 16), (1, 13))","(np.float64(0.07802603542245963), np.float64(0.10605891965178806), np.float64(0.14415762442901486), np.float64(0.1491628516159075))","(np.float64(158.99783922360714), np.float64(180.51665349600174), np.float64(272.4957344259967), np.float64(51.891424385551254))"
74,"((8, 18), (3, 12))","(np.float64(0.05373138307899011), np.float64(0.1334215445116637))","(np.float64(125.49771451034707), np.float64(277.40853002863383))"
75,"((7, 10),)","(np.float64(0.10482491679538457),)","(np.float64(290.51882037887276),)"
76,"((2, 19), (7, 14), (14, 19))","(np.float64(0.09378750845073644), np.float64(0.1043088678593155), np.float64(0.13594146851998193))","(np.float64(173.04611433688393), np.float64(98.72529083976397), np.float64(149.981084940094))"
77,"((4, 16), (11, 18))","(np.float64(0.10252061727098806), np.float64(0.13589425019491944))","(np.float64(1.1611121234059922), np.float64(136.70432203927797))"
78,"((7, 15), (10, 12))","(np.float64(0.12081691575578904), np.float64(0.12224300531840279))","(np.float64(352.62981265037433), np.float64(306.2231240024057))"
79,"((4, 14),)","(np.float64(0.13884373316941565),)","(np.float64(78.67226160118909),)"
80,"((0, 6), (1, 8))","(np.float64(0.14492718272236155), np.float64(0.13886626612899353))","(np.float64(110.82322609803586), np.float64(166.13958373924078))"
81,"((13, 18), (11, 16), (10, 19))","(np.float64(0.1451159427982919), np.float64(0.13190644183753208), np.float64(0.1383912874503289))","(np.float64(332.57759373015693), np.float64(234.55788331460084), np.float64(239.89275219202386))"
82,"((0, 1), (1, 19), (8, 9))","(np.float64(0.14471949716349866), np.float64(0.09974721130353371), np.float64(0.1261787561771539))","(np.float64(208.27068534414929), np.float64(283.3622173883394), np.float64(172.1012855026881))"
83,"((5, 14), (5, 19), (14, 19))","(np.float64(0.09293520985756439), np.float64(0.11159176957398252), np.float64(0.13028450601016742))","(np.float64(138.015027158214), np.float64(216.56886805648608), np.float64(260.92770705756675))"
86,"((0, 16),)","(np.float64(0.14355001220296235),)","(np.float64(111.27672721524524),)"
87,"((6, 14), (1, 9))","(np.float64(0.07356693263228896), np.float64(0.1452950320267914))","(np.float64(12.14880610898668), np.float64(125.84756114713073))"
88,"((4, 6), (3, 13))","(np.float64(0.12544576559335513), np.float64(0.14760140849112363))","(np.float64(20.082469286354304), np.float64(344.34999048499435))"
89,"((4, 7), (13, 16))","(np.float64(0.1050568220967431), np.float64(0.12300810872218486))","(np.float64(350.5107339714386), np.float64(73.94350677916614))"
90,"((4, 14), (3, 4), (4, 12))","(np.float64(0.07445458755605425), np.float64(0.1458895161577906), np.float64(0.13255863506779011))","(np.float64(174.15815423079243), np.float64(168.8391899318299), np.float64(292.19967886272974))"
92,"((2, 14), (2, 8), (2, 9))","(np.float64(0.09493485755414409), np.float64(0.11084205843999698), np.float64(0.14838623578389926))","(np.float64(81.69571237210467), np.float64(289.77693792704406), np.float64(212.44424595768106))"
93,"((2, 4), (2, 19), (14, 17), (1, 5))","(np.float64(0.11451745869334781), np.float64(0.14257766095349886), np.float64(0.13617957854167312), np.float64(0.14617560757916187))","(np.float64(32.86864822054662), np.float64(321.82253751017754), np.float64(131.51292142594144), np.float64(329.6395864984685))"
94,"((2, 3), (4, 17), (6, 14), (0, 6), (1, 6))","(np.float64(0.11597075464170645), np.float64(0.10815982305220623), np.float64(0.1401285215794955), np.float64(0.1494379586204929), np.float64(0.13626551385549168))","(np.float64(337.515299976834), np.float64(135.48598828270167), np.float64(114.01412337694092), np.float64(19.32481770389236), np.float64(268.84389979231685))"
95,"((2, 3), (5, 15), (3, 13))","(np.float64(0.12789902146916152), np.float64(0.11476716079235662), np.float64(0.14653553132608485))","(np.float64(345.2202960916361), np.float64(260.7389624053643), np.float64(237.35462714535575))"
97,"((9, 19), (10, 12), (4, 17))","(np.float64(0.1013401987673528), np.float64(0.13852552829873255), np.float64(0.14879530313748))","(np.float64(94.09025628573079), np.float64(47.88827296431985), np.float64(300.0295203113045))"
98,"((13, 15),)","(np.float64(0.12441277273780466),)","(np.float64(99.35623953255667),)"
99,"((0, 4), (0, 12), (10, 11))","(np.float64(0.08728027015439536), np.float64(0.11994266632457329), np.float64(0.12200010578087143))","(np.float64(135.19074106488708), np.float64(326.2156360792534), np.float64(79.5988991317866))"
100,"((3, 6), (4, 15), (5, 9), (10, 15), (11, 14), (12, 19), (10, 19))","(np.float64(0.05795066489397435), np.float64(0.12822035640241355), np.float64(0.13140303446346016), np.float64(0.12085506860689393), np.float64(0.1435751082812983), np.float64(0.1160476306258733), np.float64(0.11172943018868797))","(np.float64(25.81206069292446), np.float64(37.99261868667412), np.float64(154.058909522302), np.float64(113.30088122253528), np.float64(117.00296091488222), np.float64(143.20521843455427), np.float64(312.75083743650595))"
101,"((4, 5),)","(np.float64(0.09141894383252834),)","(np.float64(22.483111436964165),)"
102,"((8, 15),)","(np.float64(0.14257283430049794),)","(np.float64(328.4401996860716),)"
103,"((0, 15), (2, 3), (8, 16), (11, 12), (11, 18), (12, 18))","(np.float64(0.06946808872933709), np.float64(0.1296291962912116), np.float64(0.09582867515031217), np.float64(0.12834633974536103), np.float64(0.12448965089156169), np.float64(0.12245322925884716))","(np.float64(91.50298018459095), np.float64(89.14621322616017), np.float64(188.48793690134954), np.float64(355.7572158198818), np.float64(53.6700006928246), np.float64(116.29325413448791))"
104,"((2, 4), (4, 12), (0, 2))","(np.float64(0.12230650161634028), np.float64(0.08463648473630608), np.float64(0.14754129629083917))","(np.float64(95.75555259533313), np.float64(158.5642537748438), np.float64(300.32500764120203))"
106,"((2, 12), (3, 8), (5, 18), (11, 16), (12, 16))","(np.float64(0.12471722869880815), np.float64(0.12773027471891912), np.float64(0.09125194260313806), np.float64(0.1219920691586872), np.float64(0.13931419547128202))","(np.float64(205.8609701743404), np.float64(356.38763013737054), np.float64(332.8663305077714), np.float64(141.1092293284612), np.float64(162.80274695027725))"
107,"((0, 10), (8, 18), (6, 15))","(np.float64(0.13899908956735926), np.float64(0.14691662105369166), np.float64(0.14803740210633076))","(np.float64(154.15184859421436), np.float64(66.50110002769871), np.float64(15.5211230813753))"
108,"((3, 13), (11, 12))","(np.float64(0.13140239961135983), np.float64(0.10224661158817205))","(np.float64(326.28112956595527), np.float64(358.26919645155294))"
109,"((1, 13),)","(np.float64(0.09930837884900805),)","(np.float64(75.62377866408428),)"
110,"((6, 12),)","(np.float64(0.12970924716003374),)","(np.float64(304.03017181888805),)"
112,"((1, 12), (2, 12))","(np.float64(0.0984417169357262), np.float64(0.10085192349040781))","(np.float64(326.2297391757239), np.float64(104.70672907602948))"
