episode,los_id,los_dist,los_qdr
3950,"((6, 16),)","(np.float64(0.14085062820734875),)","(np.float64(154.08941184967077),)"
3951,"((3, 8),)","(np.float64(0.13800085052978162),)","(np.float64(320.7942975109888),)"
3952,"((3, 18),)","(np.float64(0.13262181307920184),)","(np.float64(97.74207413596086),)"
3953,"((0, 4), (1, 16))","(np.float64(0.044780475959589464), np.float64(0.12285418969047504))","(np.float64(175.9678004163775), np.float64(102.02691268614102))"
3955,"((2, 7), (2, 17), (3, 14), (3, 18))","(np.float64(0.13471558958480134), np.float64(0.1096090623241755), np.float64(0.1462547342180526), np.float64(0.14285320023652212))","(np.float64(46.359914404490276), np.float64(339.3239858071713), np.float64(197.30892105131943), np.float64(15.389189468499438))"
3956,"((4, 14),)","(np.float64(0.0948896545923867),)","(np.float64(12.099003652620857),)"
3957,"((0, 7), (2, 13), (11, 14), (11, 17), (14, 17))","(np.float64(0.14114213079164264), np.float64(0.06845867913925692), np.float64(0.09748564598418516), np.float64(0.1015615411076254), np.float64(0.12723615623471915))","(np.float64(36.780603483080625), np.float64(139.58746123217443), np.float64(136.80921627155357), np.float64(57.37006196544446), np.float64(8.502361295910486))"
3958,"((3, 16), (4, 15), (4, 12), (12, 16), (9, 18))","(np.float64(0.07141904145368687), np.float64(0.14312102796508835), np.float64(0.129538440577852), np.float64(0.1426695773523288), np.float64(0.14315792037421057))","(np.float64(181.58791299077416), np.float64(348.5176686790585), np.float64(212.1445676238693), np.float64(178.91732531820756), np.float64(127.164410710748))"
3959,"((3, 4), (3, 8), (2, 16))","(np.float64(0.11455890624744197), np.float64(0.14991800801712882), np.float64(0.14782583809929659))","(np.float64(66.34713774228179), np.float64(8.699763184923384), np.float64(347.4899423182352))"
3960,"((9, 15), (10, 14), (4, 10))","(np.float64(0.13054196970747478), np.float64(0.11136496519283849), np.float64(0.14162691906937577))","(np.float64(248.41005198959795), np.float64(177.15159836322175), np.float64(283.916389350987))"
