timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,TimeLimit.truncated
1519144,30384,-7.724911670270787,0,1.5449823340541573,0,True
1519194,30385,-9.714151839055674,0,1.5428303678111355,2,True
1519244,30386,-7.722908065275126,0,1.5445816130550254,0,True
1519294,30387,-9.750374803804016,0,1.550074960760803,2,True
1519344,30388,-7.762538459391335,0,1.5525076918782668,0,True
1519394,30389,-8.698385971586852,0,1.5396771943173704,1,True
1519444,30390,-12.826943225946309,0,1.5653886451892618,5,True
1519494,30391,-9.776561842489214,0,1.5553123684978427,2,True
1519544,30392,-12.722065856525584,0,1.5444131713051164,5,True
1519594,30393,-7.73425810226367,0,1.546851620452734,0,True
1519644,30394,-7.7724792454698495,0,1.5544958490939698,0,True
1519694,30395,-15.694077179631408,0,1.5388154359262811,8,True
1519744,30396,-7.7254456288765585,0,1.5450891257753119,0,True
1519794,30397,-8.715362232144244,0,1.5430724464288488,1,True
1519844,30398,-9.702320860664184,0,1.5404641721328363,2,True
1519894,30399,-7.705676733098672,0,1.5411353466197348,0,True
1519944,30400,-8.720035728300761,0,1.544007145660153,1,True
1519994,30401,-11.699160828927603,0,1.539832165785521,4,True
1520044,30402,-12.775018884853639,0,1.5550037769707268,5,True
1520094,30403,-7.696384142030655,0,1.5392768284061311,0,True
1520144,30404,-10.722249123591064,0,1.5444498247182121,3,True
1520194,30405,-9.88233306306455,0,1.5764666126129108,2,True
1520244,30406,-7.846445035582264,0,1.569289007116453,0,True
1520294,30407,-9.719319529107036,0,1.5438639058214065,2,True
1520344,30408,-8.781618995878292,0,1.5563237991756582,1,True
1520394,30409,-7.745268799349774,0,1.549053759869955,0,True
1520444,30410,-7.828594173179397,0,1.565718834635879,0,True
1520494,30411,-12.827721676327391,0,1.5655443352654776,5,True
1520544,30412,-9.730059139753834,0,1.546011827950766,2,True
1520594,30413,-7.727258242890336,0,1.545451648578067,0,True
1520644,30414,-7.699593412208386,0,1.5399186824416775,0,True
1520694,30415,-7.827749689684549,0,1.5655499379369104,0,True
1520744,30416,-7.7221727436420124,0,1.5444345487284026,0,True
1520794,30417,-8.884402878929688,0,1.5768805757859377,1,True
1520844,30418,-8.727822633478661,0,1.5455645266957319,1,True
1520894,30419,-9.84065735581731,0,1.5681314711634626,2,True
1520944,30420,-11.716087501497753,0,1.5432175002995512,4,True
1520994,30421,-8.72466750896112,0,1.5449335017922232,1,True
1521044,30422,-7.826642282405039,0,1.5653284564810073,0,True
1521094,30423,-10.729948682643474,0,1.5459897365286945,3,True
1521144,30424,-10.714120362526447,0,1.5428240725052893,3,True
1521194,30425,-7.7237346688226305,0,1.544746933764526,0,True
1521244,30426,-7.718100794983514,0,1.5436201589967027,0,True
1521294,30427,-12.713945988504214,0,1.5427891977008423,5,True
1521344,30428,-8.87841571252431,0,1.5756831425048616,1,True
1521394,30429,-7.732226334180847,0,1.54644526683617,0,True
1521444,30430,-7.720923413676099,0,1.5441846827352197,0,True
1521494,30431,-7.700056366420959,0,1.540011273284192,0,True
1521544,30432,-9.722386328993691,0,1.5444772657987373,2,True
1521594,30433,-7.871356286908073,0,1.5742712573816147,0,True
1521644,30434,-9.713211052526251,0,1.5426422105052497,2,True
1521694,30435,-8.703945488469625,0,1.540789097693925,1,True
1521744,30436,-9.72249662473526,0,1.5444993249470522,2,True
1521794,30437,-7.694375188954514,0,1.5388750377909028,0,True
1521844,30438,-8.779872292935957,0,1.555974458587192,1,True
1521894,30439,-9.722244273181028,0,1.5444488546362047,2,True
1521944,30440,-13.785366815197834,0,1.557073363039568,6,True
1521994,30441,-7.84776392595761,0,1.5695527851915225,0,True
1522044,30442,-7.8299243609525835,0,1.565984872190517,0,True
1522094,30443,-8.757203759821286,0,1.5514407519642563,1,True
1522144,30444,-8.772405930022012,0,1.5544811860044028,1,True
1522194,30445,-8.730792489119889,0,1.5461584978239773,1,True
1522244,30446,-7.709046979372842,0,1.5418093958745687,0,True
1522294,30447,-7.710944970897421,0,1.542188994179484,0,True
1522344,30448,-8.745842503057483,0,1.5491685006114966,1,True
1522394,30449,-11.724512150548103,0,1.5449024301096204,4,True
1522444,30450,-7.835529239927032,0,1.5671058479854059,0,True
1522494,30451,-7.716375681472066,0,1.5432751362944126,0,True
1522544,30452,-9.845124604422079,0,1.5690249208844154,2,True
1522594,30453,-7.733795110540999,0,1.5467590221082,0,True
1522644,30454,-7.747652162804939,0,1.5495304325609878,0,True
1522694,30455,-13.722108662490854,0,1.5444217324981713,6,True
1522744,30456,-12.746154359937107,0,1.5492308719874217,5,True
1522794,30457,-9.761943524205972,0,1.5523887048411948,2,True
1522844,30458,-7.712589389479505,0,1.5425178778959017,0,True
1522894,30459,-9.794180712171222,0,1.5588361424342438,2,True
1522944,30460,-7.737341916165502,0,1.5474683832331004,0,True
1522994,30461,-11.720399980976977,0,1.5440799961953948,4,True
1523044,30462,-7.700545034159568,0,1.5401090068319132,0,True
1523094,30463,-10.722284098899033,0,1.5444568197798063,3,True
1523144,30464,-8.710021051588342,0,1.5420042103176683,1,True
1523194,30465,-7.714291963427524,0,1.5428583926855044,0,True
1523244,30466,-9.791005067183182,0,1.5582010134366358,2,True
