timesteps,episodes,total_reward,waypoints_completed,TimeLimit.truncated
115986,395,5,5,False
116286,396,1,1,True
116586,397,4,4,True
116886,398,4,4,True
117186,399,2,2,True
117486,400,2,2,True
117786,401,2,2,True
118086,402,0,0,True
118386,403,3,3,True
118686,404,2,2,True
118986,405,4,4,True
119286,406,2,2,True
119586,407,2,2,True
119886,408,2,2,True
120186,409,0,0,True
120486,410,2,2,True
120693,411,5,5,False
120993,412,0,0,True
121293,413,4,4,True
121593,414,3,3,True
121893,415,4,4,True
122193,416,2,2,True
122493,417,1,1,True
122793,418,2,2,True
123093,419,3,3,True
123393,420,1,1,True
123693,421,2,2,True
123993,422,2,2,True
124293,423,2,2,True
124593,424,4,4,True
124893,425,0,0,True
125193,426,4,4,True
125493,427,3,3,True
125793,428,1,1,True
126093,429,1,1,True
126393,430,3,3,True
126693,431,4,4,True
126993,432,3,3,True
127293,433,2,2,True
127593,434,1,1,True
127893,435,2,2,True
128193,436,4,4,True
128493,437,2,2,True
128793,438,4,4,True
129093,439,1,1,True
129393,440,3,3,True
129693,441,1,1,True
129993,442,2,2,True
130293,443,4,4,True
130449,444,5,5,False
130749,445,0,0,True
131049,446,4,4,True
131227,447,5,5,False
131527,448,2,2,True
131827,449,1,1,True
132127,450,4,4,True
132427,451,3,3,True
132727,452,2,2,True
133027,453,1,1,True
133327,454,2,2,True
133627,455,1,1,True
133927,456,3,3,True
134227,457,1,1,True
134527,458,2,2,True
134827,459,2,2,True
135127,460,1,1,True
135427,461,1,1,True
135727,462,3,3,True
136027,463,1,1,True
136221,464,5,5,False
136521,465,4,4,True
136821,466,3,3,True
137119,467,5,5,False
137419,468,2,2,True
137669,469,5,5,False
137969,470,0,0,True
138269,471,3,3,True
138569,472,4,4,True
138654,473,5,5,False
138954,474,2,2,True
139254,475,2,2,True
139554,476,0,0,True
139854,477,1,1,True
140154,478,1,1,True
140454,479,3,3,True
140754,480,2,2,True
141054,481,3,3,True
141354,482,4,4,True
141654,483,2,2,True
141954,484,2,2,True
142254,485,4,4,True
142554,486,2,2,True
142854,487,2,2,True
143154,488,4,4,True
143454,489,2,2,True
143678,490,5,5,False
143978,491,2,2,True
144165,492,5,5,False
144465,493,4,4,True
144670,494,5,5,False
144970,495,1,1,True
145270,496,2,2,True
145570,497,1,1,True
145870,498,3,3,True
146170,499,0,0,True
146470,500,1,1,True
146770,501,1,1,True
146959,502,5,5,False
147259,503,4,4,True
147559,504,3,3,True
147859,505,1,1,True
148083,506,5,5,False
148383,507,1,1,True
148683,508,2,2,True
148983,509,4,4,True
149283,510,3,3,True
149583,511,0,0,True
149883,512,3,3,True
150183,513,0,0,True
150483,514,3,3,True
150783,515,2,2,True
150959,516,5,5,False
151259,517,3,3,True
151559,518,1,1,True
151859,519,0,0,True
152159,520,2,2,True
152459,521,3,3,True
152759,522,0,0,True
153059,523,3,3,True
153353,524,5,5,False
153508,525,5,5,False
153808,526,4,4,True
154108,527,4,4,True
154408,528,0,0,True
154708,529,2,2,True
155008,530,0,0,True
155308,531,3,3,True
155608,532,1,1,True
155908,533,4,4,True
156208,534,1,1,True
156508,535,4,4,True
156808,536,3,3,True
157067,537,5,5,False
157367,538,1,1,True
157667,539,3,3,True
157967,540,4,4,True
158267,541,1,1,True
158567,542,2,2,True
158867,543,1,1,True
159167,544,3,3,True
159467,545,3,3,True
159767,546,4,4,True
160067,547,4,4,True
160367,548,1,1,True
160512,549,5,5,False
160812,550,2,2,True
161112,551,2,2,True
161412,552,2,2,True
161712,553,3,3,True
162012,554,3,3,True
162205,555,5,5,False
162505,556,1,1,True
162805,557,1,1,True
163105,558,1,1,True
163405,559,1,1,True
163705,560,1,1,True
