timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
18200,52,-109.0576996449001,[1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0.],1.6008242806414297,3,0.002962582900911548,-0.06443828357736518,True
18550,53,-86.06295136267883,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 1.],1.3294707337525546,0,0.0029457534197729345,-0.1680884269398502,True
18900,54,-107.85892848103903,[0. 1. 0. 0. 1. 1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0.],1.3408418354434146,22,0.0023381640800291064,-0.1585988151992127,True
19250,55,-86.5485455119613,[0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0.],1.2792649358851613,7,0.002373660214802796,-0.15191630763168487,True
19600,56,-96.8248834422312,[1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0.],1.34035547774616,12,0.0030992242939809557,-0.14156389461758823,True
19950,57,-93.80303344009431,[1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 0.],1.3971861920013469,4,0.002513551482240937,-0.09719731371770254,True
20300,58,-97.61130110331051,[1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0.],1.4373043014758644,3,0.0021638020420494146,-0.11279652039667096,True
20650,59,-79.73371294379983,[1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 0. 0.],1.1961958991971404,6,0.0027755755635967367,-0.10013801110827054,True
21000,60,-87.10053113030538,[0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 1. 0. 0.],1.330007587575791,3,0.00292794054487289,-0.11842777255288219,True
21350,61,-96.11262448384593,[1. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],1.4158946354835136,5,0.0028261989985648404,-0.20623552824599428,True
21700,62,-113.67593221379934,[0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0.],1.5525133173399905,14,0.0029415646925672776,-0.2156953288687267,True
22050,63,-103.04285571611601,[0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1.],1.543469367373086,1,0.0030926455502236876,-0.20243911446057233,True
22400,64,-85.84823818943444,[1. 0. 0. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0.],1.2692605455633492,5,0.0030518031415297875,-0.263858889098918,True
22750,65,-84.85971917941181,[0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1.],1.1979959882773117,8,0.003003676802473523,-0.22088721147183557,True
23100,66,-107.11276633267516,[1. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0.],1.344468090466788,22,0.003632371611632035,-0.241816055028702,True
23450,67,-102.2842927054299,[0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 1. 0. 1.],1.2754898957918557,23,0.0033974106481748693,-0.2888842430218707,True
23800,68,-75.70129389351585,[1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 1.],1.0671613413359406,11,0.003572465677437395,-0.30523073683488794,True
24150,69,-101.399802823668,[0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 1.],1.4342828974809714,9,0.003231221094601133,-0.2867435485208259,True
24500,70,-77.05563393274484,[1. 1. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 1. 0. 1. 1. 0. 0.],1.1293661990392119,9,0.003327421580252096,-0.25550554672282594,True
24850,71,-89.89883913045013,[0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 0. 1. 1.],1.341411987577859,6,0.0035881442325366897,-0.26612914215604566,True
25200,72,-88.46366298254814,[0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0.],1.3351951854649735,4,0.004162592798202505,-0.2857441135363212,True
25550,73,-74.21001922238139,[1. 0. 1. 1. 1. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1.],1.0458574174625912,12,0.003816930592378043,-0.33892775482601867,True
25900,74,-115.47822183213059,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1.],1.5354031690304368,12,0.003964409991779598,-0.36888432362569823,True
26250,75,-83.42216025921806,[0. 1. 1. 1. 0. 1. 0. 1. 1. 1. 0. 1. 1. 0. 1. 0. 0. 0. 1. 0.],1.148888003703115,14,0.003741615633933416,-0.36463930561631086,True
26600,76,-54.29501823793519,[1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 1. 1. 0.],0.8470716891133597,9,0.0034677753638645164,-0.3602328176357022,True
26950,77,-82.20311606585928,[1. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1.],1.2457588009408471,7,0.0034943502114882794,-0.35709573353573226,True
27300,78,-102.62771531773726,[1. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1.],1.3232530759676746,18,0.003339981364868267,-0.32202357711130464,True
