timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
28700,82,-128.89529289114583,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8127898984449398,1,-0.0006263912936415958,-0.01600067023652219,True
29050,83,-123.78102898106077,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7468718425865823,1,-0.0004723921978429973,-0.004960169685036128,True
29400,84,-125.46724167691977,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7709605953845677,1,-0.0002658673488621061,-0.008990929313719734,True
29750,85,-128.89731425011087,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.841390203573012,0,-0.00023882121007002698,-0.018057947304102734,True
30100,86,-131.5466764623731,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7435239494624728,5,-0.0003067582555117302,-0.03428461855896528,True
30450,87,-123.7375628571597,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.68196518367371,3,-0.0003892682733672336,-0.041398361205880925,True
30800,88,-119.37847973684877,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.705406853383554,0,-0.0002897507897748031,-0.02868363674865282,True
31150,89,-117.8118684735523,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6258838353364609,2,-0.00044006681930829034,-0.024066556244878357,True
31500,90,-132.1138024330753,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8373400347582187,2,-0.0004144280705611833,-0.010622857323406997,True
31850,91,-128.02176922205774,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7717395603151107,2,-0.00034878907232905617,-0.034315574521872685,True
32200,92,-127.0445944795051,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7292084925643585,3,-0.00034940659404066244,-0.059695155062073346,True
32550,93,-126.66075926845062,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7808679895492943,1,-0.0004887494738124082,-0.04671654254912929,True
32900,94,-128.99666640994738,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.7928095201421053,2,-0.0007271362678575785,-0.03859053143783293,True
33250,95,-125.1633923076996,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.623762747252851,6,-0.0004765810394939517,-0.020099307615826383,True
33600,96,-131.3169272392682,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8188132462752606,2,-0.00021329089069467954,-0.024123798426782223,True
33950,97,-123.12042670257759,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7302918100368228,1,-0.00047670612128007667,-0.018908576384337277,True
34300,98,-120.16870339551828,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.730981477078832,0,-0.00020469174035293245,-0.010477680410453629,True
34650,99,-117.83459102276612,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6547798717538018,1,-0.00020288724876289048,-0.01133811311885509,True
35000,100,-126.89915830917296,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7342736901310423,3,-0.00013162449000634038,0.007600405278191569,True
35350,101,-128.7771348109541,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.7682447830136296,3,-6.900609447717547e-05,-0.014958043130603059,True
