timesteps,episodes,total_reward,final_altitude,TimeLimit.truncated
3524,92,-86.02443053833335,2713.017815,False
3565,93,-53.53609695833334,2348.540156,False
3606,94,-53.57247768166667,1988.615235,False
3647,95,-53.88948943833332,2122.238477,False
3688,96,-71.78628020333333,1964.278818,False
3729,97,-49.382593435,1902.95141,False
3769,98,-63.482552733333335,2447.665065,False
3809,99,-82.50693124166668,2767.535957,False
3850,100,-66.789500075,2446.32099,False
3891,101,-66.69891720166667,2086.255578,False
3932,102,-51.58611919666667,2113.391876,False
3973,103,-85.16323118833333,2568.0324,False
4014,104,-49.63899214166668,2068.979764,False
4054,105,-91.44514406833333,3150.675143,False
4095,106,-41.28380382833333,1814.792044,False
4136,107,-60.39485698,2687.00836,False
4177,108,-43.99419626,2231.237048,False
4217,109,-70.059384925,3132.298701,False
4257,110,-87.20154552333332,3274.014662,False
4298,111,-43.51724659999999,1978.014499,False
4337,112,-68.91565122,3728.194571,False
4378,113,-62.71860921333333,2424.620524,False
4419,114,-51.76658573333333,2164.662605,False
4460,115,-62.13640344166667,2325.188192,False
4499,116,-70.70815580333333,3795.998812,False
4540,117,-60.64756062666666,2774.752149,False
4581,118,-48.73365388166667,1908.568476,False
4621,119,-69.89360780333332,3647.41385,False
4662,120,-55.26763465833332,2114.364624,False
4702,121,-66.09262099666667,3072.435286,False
4742,122,-68.423113955,3043.284637,False
4782,123,-77.16728858333333,3483.179486,False
4823,124,-83.23327287166667,2624.745355,False
4862,125,-83.28466697666667,4038.963145,False
4901,126,-77.71995636166666,4022.713806,False
4942,127,-49.82248545,2277.711027,False
4983,128,-47.29501934333334,2311.983652,False
5022,129,-81.81981279166668,4402.444752,False
5063,130,-43.77389771000001,2185.217465,False
5104,131,-52.95098530666667,2011.034789,False
5145,132,-47.24092218166667,2351.754421,False
5186,133,-47.70956343666667,2240.787436,False
5226,134,-66.24082269666667,3390.883741,False
5267,135,-44.69192743333333,2046.650799,False
5307,136,-62.533553354999995,3194.40003,False
5348,137,-51.81675094333334,2648.244348,False
5389,138,-51.954396855000006,2493.60964,False
5429,139,-59.252916745,2932.634891,False
5470,140,-58.907859085,2547.289831,False
5510,141,-76.79945416666666,3013.919517,False
5551,142,-62.679135308333336,2176.923184,False
5591,143,-76.05036115333334,2894.979421,False
5631,144,-73.40523479166667,3320.069183,False
5670,145,-83.11534143166668,3872.393766,False
5709,146,-80.74551478,3272.6592,False
5748,147,-94.29026053166666,3837.305868,False
5788,148,-94.44282222166666,3212.43524,False
5826,149,-113.86580198333334,4391.409147,False
5866,150,-90.30898056333335,2894.521251,False
5905,151,-100.89990380833333,3467.215487,False
5945,152,-101.83107258166665,3136.195895,False
5983,153,-117.85675915499999,4241.192784,False
6023,154,-68.73911016,3115.219136,False
6062,155,-115.08403847333335,3743.918256,False
6102,156,-91.61913830166665,2687.21337,False
6142,157,-83.07737184166668,3245.011174,False
6181,158,-100.49408167499999,3750.260493,False
6220,159,-88.31675287,3994.05709,False
6260,160,-96.18144864166666,3103.930961,False
6300,161,-79.04815095166667,3183.868264,False
6339,162,-102.84791189500001,3538.913476,False
6379,163,-102.98441696333333,3336.733412,False
6419,164,-81.37551063000001,2948.828183,False
6458,165,-106.79083802166667,4195.610546,False
6499,166,-63.31902060833333,2505.613708,False
6537,167,-107.44594499,4744.9257,False
6576,168,-93.89499987333335,3691.964963,False
6617,169,-59.61046464,2493.470281,False
6657,170,-78.68456069166666,3022.420164,False
6696,171,-106.81571543000001,3992.108318,False
6736,172,-80.65343374166666,3285.255518,False
6775,173,-90.45272982166668,3560.365051,False
6814,174,-87.40377179666666,3943.681846,False
6853,175,-81.30107549333331,4206.668951,False
6894,176,-65.95679151333333,2479.652444,False
6934,177,-54.76727484166666,2403.158816,False
6974,178,-65.3602127,2880.728295,False
7013,179,-74.04857009,3569.720076,False
7054,180,-66.924888975,2599.831995,False
7093,181,-66.38187112,3157.373308,False
7134,182,-47.10139493,2044.582532,False
7174,183,-71.550224385,2743.7564,False
