timesteps,episodes,total_reward,total_intrusions,final_altitude,TimeLimit.truncated
5572,144,-262.42775108,4,2438.940154,False
5612,145,-104.62510762666668,0,3435.67567,False
5653,146,-322.7989933933333,5,2867.459744,False
5694,147,-126.82884023166667,0,1282.788661,False
5735,148,-56.017788833333334,0,937.838732,False
5776,149,-200.41085153,3,936.772889,False
5815,150,-219.51973924666663,1,5388.01905,False
5855,151,-196.566911495,2,2992.037189,False
5894,152,-209.06151858333334,0,4328.06367,False
5931,153,-320.9650015666667,2,7177.54957,False
5971,154,-190.3908835133334,1,4349.373049,False
6011,155,-164.04576759833333,1,4654.569695,False
6049,156,-182.2512893883333,0,5520.483423,False
6088,157,-144.33686616,1,3951.300628,False
6127,158,-111.23262593999999,0,4949.660991,False
6168,159,-133.18227139666666,0,3107.60799,False
6209,160,-158.6747725716667,1,2832.795919,False
6250,161,-116.23498260333338,1,2154.668603,False
6290,162,-76.26238102333332,0,2452.51045,False
6331,163,-263.56776486999996,4,1551.28661,False
6371,164,-81.96599790166667,0,1806.218315,False
6410,165,-274.1682718333334,3,5963.546401,False
6451,166,-167.8573930983334,2,916.64915,False
6490,167,-150.25714205833333,0,4587.675251,False
6530,168,-183.0434073266667,2,3235.741807,False
6568,169,-436.99046609000004,5,6049.111909,False
6608,170,-219.9470432616667,3,2199.824458,False
6650,171,-214.23417035999998,3,1362.499243,False
6690,172,-164.94716981500005,2,2512.137485,False
6731,173,-293.781920015,4,3249.506835,False
6770,174,-143.59487592,0,4474.292185,False
6810,175,-143.5238609683333,1,3614.38618,False
6850,176,-78.21998019166666,0,1994.235243,False
6892,177,-106.83684466166669,0,1002.953968,False
6932,178,-251.42656447833335,3,3795.126959,False
6972,179,-90.91326331666664,0,3229.218611,False
7012,180,-232.51594242166658,3,3681.721004,False
7052,181,-257.07290681833325,3,2636.541213,False
7093,182,-378.7387306216668,6,1760.085216,False
7135,183,-88.92566649166668,0,2105.748496,False
7175,184,-254.43012587833343,4,1930.657539,False
7214,185,-125.28771558500002,0,5484.623437,False
7253,186,-74.84092254833334,0,3182.072938,False
7294,187,-155.46565158000004,2,1962.527548,False
7335,188,-196.88977387833336,2,3360.237003,False
7375,189,-147.25312923166666,1,4402.505951,False
7415,190,-252.43594475166668,3,3158.447187,False
7456,191,-334.1944272966666,5,1156.543534,False
7496,192,-125.18106875166666,1,2827.483062,False
7537,193,-109.49382667666666,1,1091.778389,False
7578,194,-109.40807492166667,1,1271.491093,False
7619,195,-74.07326683333334,0,2416.43991,False
7661,196,-270.01358704333336,3,1494.155775,False
7697,197,-219.86380655,0,5883.789374,False
7739,198,-54.68565010166667,0,828.215006,False
7780,199,-101.41921578833333,0,1268.040913,False
7819,200,-148.52767875999996,1,4401.093429,False
7860,201,-359.7345256883335,5,1135.858908,False
7900,202,-175.47172398499998,2,1565.644676,False
7941,203,-252.31556281666673,4,958.7447,False
7978,204,-308.32700517499995,2,6202.331032,False
8019,205,-219.55393470333334,3,1419.515614,False
8058,206,-159.44635079500003,1,2345.01597,False
8097,207,-304.15247610333324,4,4600.062084,False
8138,208,-103.46189977333333,0,3678.966976,False
8180,209,-224.62996103833336,3,2308.733571,False
8222,210,-305.7830903483334,3,-100,False
8261,211,-141.36768734166668,1,3039.977418,False
8302,212,-191.080010865,1,1951.920475,False
8339,213,-468.452626625,6,-100,False
8379,214,-120.58934462166665,1,2208.233712,False
8419,215,-118.25025358666666,1,2463.700152,False
8458,216,-261.3685886883334,3,4639.613315,False
8498,217,-265.72553239666667,3,3306.468964,False
8537,218,-159.52917990833333,0,4343.625756,False
8576,219,-146.74897609833334,1,3330.35114,False
8615,220,-143.82209634999998,0,5230.909555,False
8656,221,-193.31479241999997,3,132.767341,False
8697,222,-119.92554503666666,1,1908.954166,False
8737,223,-173.22180823166667,0,3213.18413,False
8777,224,-168.450260005,2,1888.022867,False
8817,225,-123.73197355166666,1,1588.102062,False
8858,226,-202.177336025,1,-100,False
8894,227,-200.408098895,1,-100,False
8934,228,-114.67023494666667,1,2343.647904,False
8973,229,-299.29529459833327,2,-100,False
9013,230,-187.07406684000006,2,3165.544808,False
9052,231,-201.69626919666666,2,3779.945199,False
9093,232,-193.904868035,2,1914.21328,False
9130,233,-226.288964685,0,4775.794676,False
9169,234,-103.57354867666666,0,3156.032183,False
9209,235,-226.15688254000003,1,-100,False
9249,236,-83.16060046333334,0,974.848919,False
9290,237,-241.44895437500003,3,1417.876576,False
9331,238,-249.7272738483333,3,1498.815895,False
