timesteps,episodes,total_reward,total_intrusions,final_altitude,TimeLimit.truncated
6026,187,-264.1657953,4,1180.778593,False
6068,188,-167.38321418833334,2,720.258522,False
6108,189,-105.68545705,1,1647.199889,False
6148,190,-136.30823703166666,1,1289.910382,False
6190,191,-98.38833820333338,0,810.116495,False
6231,192,-236.37424444333337,2,1203.067832,False
6272,193,-268.9554233583333,4,2014.770746,False
6312,194,-240.28338711499993,3,2165.080397,False
6353,195,-67.95835632500001,0,1497.326989,False
6395,196,-306.2885754833333,4,547.88143,False
6436,197,-149.37862507833336,2,985.951806,False
6477,198,-212.1858699466666,3,1543.333507,False
6518,199,-249.91815839166674,3,2002.855316,False
6559,200,-241.34160519333332,3,1579.527723,False
6601,201,-253.5825894716667,2,486.802621,False
6641,202,-133.02058250666667,1,2872.487521,False
6681,203,-299.00601867999995,4,2339.921315,False
6723,204,-34.23986612666667,0,1024.500761,False
6764,205,-88.47412777166667,0,1960.938396,False
6803,206,-441.1641109099999,6,-100,False
6844,207,-119.49855676833336,0,1372.536713,False
6885,208,-303.72965978166656,5,1104.421749,False
6926,209,-172.42815321666657,2,1561.870108,False
6966,210,-386.81282046,6,2679.088686,False
7007,211,-349.81090829,6,1746.467338,False
7047,212,-225.64826653,3,2215.363658,False
7089,213,-92.08568090333333,0,1334.613783,False
7130,214,-153.1789837916667,2,1155.41002,False
7171,215,-81.80251709,0,2140.212063,False
7212,216,-303.5180069266665,5,1164.023089,False
7253,217,-258.04150266666664,4,1201.76409,False
7293,218,-250.22783205166667,3,2065.418533,False
7334,219,-158.791215445,2,820.181437,False
7375,220,-252.95927170833335,4,1416.849922,False
7415,221,-72.41292558166668,0,1863.993711,False
7456,222,-162.692900905,2,977.853699,False
7495,223,-126.30074175833334,1,2200.849268,False
7536,224,-116.21033204833333,0,1798.365855,False
7577,225,-280.8814699566667,4,2039.824014,False
7619,226,-225.49441699166672,3,468.20333,False
7660,227,-184.33623830999994,2,868.16208,False
7701,228,-163.39479822833334,1,1786.082227,False
7742,229,-232.53231721,3,509.965272,False
7783,230,-98.01782097666671,0,1372.77094,False
7823,231,-73.33668705000002,0,1036.376354,False
7865,232,-183.3156389333333,0,914.858226,False
7906,233,-163.3922728266667,2,1148.06145,False
7948,234,-53.74341312166668,0,612.994906,False
7990,235,-164.48827189833332,2,1089.676389,False
8031,236,-130.1174248266666,1,1059.694771,False
8071,237,-178.90137496833336,2,1792.971362,False
8112,238,-196.30278267833336,2,1733.455408,False
8153,239,-259.47022879,3,1248.887897,False
8193,240,-197.47825671166663,2,1567.597959,False
8234,241,-94.82130753666665,0,1229.30869,False
8275,242,-374.16106306000006,6,797.21534,False
8315,243,-144.02307797666668,1,1831.463467,False
8356,244,-454.33185667833345,8,991.732751,False
8397,245,-92.28823990000001,0,918.086537,False
8439,246,-76.36356291333334,0,679.936053,False
8481,247,-122.79253078999997,1,1433.810225,False
8521,248,-116.9706209616667,0,1929.566064,False
8561,249,-132.01611760833333,1,1240.67393,False
8603,250,-255.93433058000002,2,748.571524,False
8643,251,-115.15523361666666,1,1851.522585,False
8684,252,-154.73279197666662,1,1781.659783,False
8724,253,-103.92789548166667,0,1354.03215,False
8764,254,-201.05329082666665,2,2138.671194,False
8806,255,-175.54339115000002,0,932.252733,False
8847,256,-304.65364092500005,4,1668.608531,False
8887,257,-92.40327242000001,0,1749.511099,False
8928,258,-112.28041530166668,1,568.071178,False
8968,259,-104.95700721833336,0,2532.703174,False
9011,260,-293.4492168316667,4,1222.814678,False
9052,261,-222.69672046500003,3,926.092791,False
9095,262,-181.3267460083334,2,1048.444082,False
9137,263,-143.39188542666673,1,448.816621,False
9177,264,-119.04668794666668,1,1285.832745,False
9218,265,-201.74287639666667,3,1343.096197,False
9259,266,-154.93518368333335,2,1054.639558,False
9301,267,-184.5336247716667,0,832.377333,False
9342,268,-120.09518967166667,0,1349.643062,False
9383,269,-179.4452979116667,2,1278.960918,False
9424,270,-69.25943256000001,0,678.055446,False
9464,271,-109.670259405,0,1381.082976,False
9504,272,-97.08797475666665,0,2329.877237,False
9545,273,-106.23262568666665,1,1785.032512,False
9587,274,-121.38612801,1,885.989995,False
9628,275,-208.01941776833334,3,1914.062786,False
9669,276,-88.2683481316667,0,1005.168843,False
9712,277,-501.28920426000013,9,179.274771,False
9752,278,-297.61361576,4,868.199318,False
9793,279,-182.52906024833334,2,1369.349475,False
9833,280,-246.109460615,3,1716.221378,False
9873,281,-183.20410984,2,1404.732391,False
9913,282,-131.958589445,1,1637.108103,False
9954,283,-157.95236852166667,2,1237.565739,False
9994,284,-74.42884701,0,1709.771283,False
10035,285,-161.79834112333333,2,711.382053,False
10076,286,-145.75423739833332,2,1127.235497,False
10116,287,-287.50076641500004,4,1958.393808,False
10157,288,-414.8120317483334,7,1001.690673,False
10199,289,-270.03654937999994,4,1111.68586,False
10240,290,-163.33522152333333,2,941.262702,False
10281,291,-118.96723206000001,1,427.417418,False
10322,292,-126.53981881833332,0,1216.286016,False
10363,293,-165.00196496833334,1,1205.014882,False
10406,294,-366.5834676583334,6,487.72562,False
10447,295,-160.5527883783334,2,1282.084311,False
10487,296,-191.08169545,2,1771.233718,False
10527,297,-73.26393408333334,0,1170.416789,False
10567,298,-180.8361733,2,1521.608979,False
10606,299,-115.70043612000002,0,1395.34137,False
10646,300,-172.04263267166667,2,1748.402538,False
10687,301,-309.22520813499995,4,1201.33219,False
10728,302,-116.79173687333333,1,1225.65326,False
10769,303,-124.25595494833331,1,954.481806,False
10810,304,-157.4317745983333,2,1182.680208,False
10852,305,-245.59435276000005,4,603.274248,False
10893,306,-188.6051508066667,2,700.291209,False
10934,307,-152.26805227,2,727.911273,False
10975,308,-357.6820079783334,6,1110.384212,False
11016,309,-121.49907334666668,1,851.779916,False
11060,310,-91.14438055666666,0,280.196958,False
11101,311,-133.44680799166667,1,1318.470812,False
11141,312,-82.84343720000001,0,1563.52869,False
11182,313,-256.28072388333334,4,1071.578081,False
11222,314,-280.1524571166667,4,1639.344024,False
11262,315,-199.56744950166663,2,1443.377856,False
11303,316,-103.31388758166668,0,829.585595,False
11344,317,-167.2863658433333,2,975.988246,False
