timesteps,episodes,total_reward,total_intrusions,final_altitude,TimeLimit.truncated
3414,94,-152.53823495999998,1,2459.436798,False
3454,95,-138.307882525,0,5156.111591,False
3494,96,-119.25250807833335,0,4285.839777,False
3534,97,-106.14723309500002,0,2779.186718,False
3568,98,-349.48536904,4,-100,False
3611,99,-173.82175429500003,0,1592.160219,False
3652,100,-301.92925221666667,5,2445.507472,False
3693,101,-135.81956783166666,0,3023.04421,False
3733,102,-189.6709119066667,2,3518.886456,False
3773,103,-203.92200230999998,2,3529.721106,False
3787,104,-128.26129413166666,0,-100,False
3827,105,-165.38394115500006,1,3412.892616,False
3842,106,-130.54189451166667,0,-100,False
3883,107,-142.94822965500003,1,1824.919714,False
3901,108,-135.31762096666668,0,-100,False
3942,109,-168.9452711766667,0,2789.153367,False
3983,110,-93.78087314500002,0,2633.251208,False
4024,111,-301.71931389833327,5,2489.893887,False
4065,112,-231.42862086999997,3,1102.267885,False
4104,113,-218.9050375183334,2,4526.736362,False
4145,114,-221.0247205133334,1,3444.921018,False
4184,115,-148.00032805833334,1,3220.873249,False
4225,116,-274.439387535,3,2406.703469,False
4264,117,-226.97966211666665,2,5015.893101,False
4284,118,-129.64418816,0,-100,False
4324,119,-212.88978940833331,2,4546.197397,False
4339,120,-124.04165916666666,0,-100,False
4379,121,-168.94242445666669,1,3445.823962,False
4423,122,-353.02288784166655,5,914.612864,False
4463,123,-128.30923895166669,1,3622.410688,False
4501,124,-343.91311144,4,5425.882894,False
4543,125,-161.54158178,0,2528.698092,False
4584,126,-79.53996617166666,0,2038.259222,False
4624,127,-226.886362085,3,2757.88135,False
4638,128,-131.61981943166666,0,-100,False
4677,129,-127.15343200166666,0,4870.702171,False
4716,130,-320.71943314000004,4,3511.456317,False
4731,131,-133.78357607,0,-100,False
4773,132,-236.597982945,2,1603.301207,False
4814,133,-156.1553105183333,1,1431.743096,False
4835,134,-145.47600045833335,0,-100,False
4874,135,-127.26999262999999,0,4681.750087,False
4885,136,-126.12445090333334,0,-100,False
4925,137,-213.1200070266667,2,4066.940566,False
4966,138,-121.63113887166664,1,1334.708894,False
5007,139,-192.39704334000007,0,2863.214531,False
5025,140,-170.70254133333333,1,-100,False
5042,141,-117.85130825333334,0,-100,False
5081,142,-107.85372517166667,0,3654.046322,False
5123,143,-176.59206851000008,2,2542.749929,False
5164,144,-270.23484948333333,4,2214.482949,False
5205,145,-167.211536235,0,4858.37236,False
5222,146,-224.3930405783333,2,-100,False
5262,147,-209.72703516333337,2,4042.183148,False
