timesteps,episodes,total_reward,total_intrusions,final_altitude,TimeLimit.truncated
3729,103,-135.00008853666668,0,3022.248456,False
3769,104,-90.05469349500002,0,1737.757247,False
3810,105,-323.73369360833345,4,845.085848,False
3851,106,-157.17242521833336,1,1305.475671,False
3890,107,-83.48086484500001,0,2017.549962,False
3931,108,-103.63742732833335,0,356.704344,False
3972,109,-132.2795451633333,1,1003.320546,False
4003,110,-249.1258284166667,2,-100,False
4042,111,-145.35622626500003,1,2262.740865,False
4083,112,-119.39014419166666,1,501.206888,False
4123,113,-185.76582273000002,2,1720.630985,False
4162,114,-148.9295279433333,1,2498.465517,False
4201,115,-112.93052747500003,0,2147.838699,False
4242,116,-80.97932668833334,0,931.412256,False
4282,117,-79.82205019833333,0,1498.902106,False
4322,118,-83.47957101166668,0,1111.3885,False
4363,119,-98.53527309500001,0,749.354368,False
4404,120,-169.21512859333336,0,-100,False
4445,121,-84.23464324833336,0,736.179,False
4486,122,-324.5777936866667,3,-100,False
4526,123,-85.89456983333334,0,1238.294624,False
4565,124,-114.44191025000003,0,1886.973541,False
4606,125,-236.3112449,3,1135.400694,False
4647,126,-72.51698263166666,0,1212.924963,False
4687,127,-233.6892110033333,3,2246.846884,False
4726,128,-169.79464633666666,1,492.540422,False
4766,129,-164.42203315166665,2,1220.443225,False
4808,130,-124.28207652833332,0,1342.7003,False
4849,131,-128.11576126666665,1,820.932679,False
4889,132,-197.72298925833334,2,1857.228161,False
4929,133,-224.07883104666666,3,1066.616038,False
4969,134,-160.71013255500006,2,1480.026845,False
5009,135,-174.64135622,2,2542.213456,False
5050,136,-170.94556134,2,1342.545122,False
5091,137,-99.19654336166666,1,925.116385,False
5131,138,-97.17274910666666,0,771.009361,False
5172,139,-224.74385829333332,2,1146.278529,False
5213,140,-129.6354404766667,1,1772.760327,False
5254,141,-222.9503373933333,3,484.116387,False
5294,142,-91.57468222166668,0,1360.457511,False
5333,143,-89.78460534,0,2777.243308,False
5373,144,-133.32750525166668,1,1079.686907,False
5413,145,-72.74130499166667,0,1782.428042,False
5449,146,-296.02347466833334,3,-100,False
5490,147,-74.608946885,0,890.442209,False
5532,148,-229.8032994016667,3,593.951542,False
5573,149,-246.51295085333322,4,1141.633646,False
5613,150,-83.62136387666666,0,739.89513,False
5653,151,-90.82886666166667,0,1411.648317,False
5693,152,-100.74726519500001,0,1412.998918,False
5737,153,-292.97924234666675,2,-100,False
5778,154,-356.570405205,5,2070.985276,False
5819,155,-279.18191715,4,527.27059,False
5859,156,-180.95540681,2,1363.344587,False
5899,157,-238.37588992499997,3,1831.004258,False
5940,158,-321.62018030833343,5,1478.036477,False
5976,159,-205.2289621433333,1,-100,False
6016,160,-185.429915265,2,1536.777546,False
6057,161,-175.01123639833332,2,616.480426,False
6098,162,-247.7361431283333,4,1002.221339,False
6139,163,-164.08905525166668,2,214.744253,False
6180,164,-193.89956919333332,3,524.999631,False
6220,165,-85.07459334999999,0,957.059685,False
6260,166,-67.04636041833334,0,2507.983246,False
6300,167,-145.15303665333334,1,1315.977092,False
6341,168,-224.1654691883333,3,772.492969,False
6382,169,-140.55355242166667,2,573.922603,False
6422,170,-101.32044682000002,0,378.42037,False
6462,171,-87.34031377333332,0,1244.713845,False
6502,172,-81.00910335666667,0,1462.318256,False
6542,173,-86.03569506999999,0,753.675439,False
6583,174,-198.31735603833332,2,515.931143,False
6625,175,-271.7270497816667,4,81.416347,False
6665,176,-154.851981665,0,-100,False
6706,177,-126.51395483333336,1,850.806697,False
6746,178,-213.23664503166663,3,1560.866808,False
6787,179,-192.3409517866666,3,545.924192,False
6827,180,-76.03915089333333,0,1249.42208,False
6867,181,-79.11578841666667,0,1382.807151,False
6907,182,-71.82838619499998,0,1043.058436,False
6946,183,-106.95054195500002,0,1905.689416,False
6987,184,-318.2722141816667,5,401.034658,False
7028,185,-180.26851374166668,2,780.019658,False
7069,186,-170.72336696333332,2,1110.8723,False
7110,187,-148.73284274666668,2,1011.991803,False
7150,188,-126.92184248666668,1,1098.828286,False
7190,189,-277.74156299,4,1275.919075,False
7230,190,-277.57930390166666,4,1251.719146,False
7269,191,-94.34683758166666,0,2015.627013,False
7308,192,-124.905994035,0,2319.434033,False
7348,193,-79.83536643833332,0,1152.176665,False
7387,194,-78.79669503166667,0,1605.943922,False
7427,195,-96.74699707833338,0,1182.383558,False
